# Shrunk traces: 10
# Start total, inputs: 17432, 481'
# Start: [56, 26, 156, 24, 77, 31, 13, 125, 82, 43]'
# Start inputs: [44, 18, 126, 17, 59, 21, 9, 93, 63, 31]'
# Start max, min, avg: 126, 9, 48.1'
shrinker,time,times,nr_tests,nr_steps,steps,nr_inputs,inputs,end_max,end_min,end_avg,end,end_all_max,end_all_min,end_all_avg,end_all,time_step
['Shrinking::ElemShrink2'],403.59,"[39.314350446, 19.188804177, 68.14459734, 13.720447739, 55.156638877, 16.204873365, 13.727467629, 96.560554545, 62.922741609, 18.646153419]",481,23211,"[1187, 235, 9830, 215, 2280, 331, 78, 5723, 2626, 706]",18019,"[960, 178, 7927, 158, 1731, 235, 56, 4261, 1992, 521]",8,5,5.80,"[5, 5, 5, 5, 6, 6, 5, 8, 7, 6]",9,6,6.80,"[6, 6, 6, 6, 7, 7, 6, 9, 8, 7]",0.02
['Shrinking::BinaryShrink2'],234.91,"[18.410596138, 18.565911138, 21.57435313, 20.551028915, 23.415873168, 23.23366232, 17.525552999, 34.655550784, 31.898659542, 25.074782898]",156,1949,"[98, 116, 376, 106, 157, 142, 84, 318, 281, 271]",1488,"[81, 90, 286, 80, 123, 107, 58, 240, 221, 202]",8,5,6.10,"[5, 5, 6, 6, 6, 6, 5, 8, 7, 7]",9,6,7.40,"[6, 6, 8, 8, 7, 7, 6, 9, 8, 9]",0.12
['Shrinking::DeltaShrink'],785.15,"[49.426236037, 61.114987259, 70.971158564, 58.268954145, 55.39124074, 72.407069172, 61.235438379, 139.082005386, 130.950636871, 86.299515206]",368,3186,"[190, 188, 456, 170, 262, 249, 159, 677, 564, 271]",2455,"[155, 133, 360, 132, 205, 182, 113, 531, 440, 204]",8,5,5.70,"[5, 5, 5, 5, 6, 5, 5, 8, 7, 6]",9,6,6.70,"[6, 6, 6, 6, 7, 6, 6, 9, 8, 7]",0.25
['Shrinking::CycleShrink2'],96.63,"[11.996636503, 0.942886023, 10.518114018, 8.166772135, 4.595621789, 0.991376265, 1.344218205, 5.178778576, 23.721244993, 29.173356553]",67,869,"[49, 69, 144, 40, 25, 110, 16, 56, 153, 207]",669,"[40, 53, 108, 29, 21, 83, 13, 46, 126, 150]",13,6,8.90,"[7, 8, 10, 7, 8, 11, 6, 10, 13, 9]",14,7,10.40,"[8, 10, 12, 9, 9, 13, 7, 11, 14, 11]",0.11
['Shrinking::RoughCycleShrink2'],2394.21,"[95.250395935, 173.025014023, 436.007518932, 135.45340468, 170.219480655, 241.944692501, 79.542814284, 220.339164679, 283.668804546, 558.760624957]",715,7087,"[192, 614, 1930, 289, 339, 716, 168, 609, 569, 1661]",5166,"[154, 424, 1352, 199, 279, 508, 121, 466, 471, 1192]",7,5,5.60,"[5, 5, 5, 5, 6, 5, 5, 7, 7, 6]",8,6,6.60,"[6, 6, 6, 6, 7, 6, 6, 8, 8, 7]",0.34
"['Shrinking::CycleShrink2', 'Shrinking::ElemShrink2']",367.68,"[38.269941761, 37.573564384, 32.297344703, 29.757763963000002, 28.571485529, 27.453803894, 23.202701553, 37.962938952, 61.259632138, 51.326432149]",156,1566,"[87, 128, 234, 87, 77, 203, 49, 141, 274, 286]",1260,"[71, 103, 183, 68, 65, 159, 40, 121, 234, 216]",8,5,5.80,"[5, 5, 5, 5, 6, 6, 5, 8, 7, 6]",9,6,6.80,"[6, 6, 6, 6, 7, 7, 6, 9, 8, 7]",0.23
"['Shrinking::CycleShrink2', 'Shrinking::BinaryShrink2']",520.25,"[39.981950153999996, 52.185242085, 43.22912985, 41.055473502000005, 44.232076161, 44.346789448, 34.140241687999996, 76.026156638, 70.460366074, 74.589719632]",183,1668,"[90, 143, 217, 91, 88, 210, 54, 169, 296, 310]",1352,"[73, 116, 172, 72, 74, 165, 44, 145, 254, 237]",8,5,6.00,"[5, 6, 5, 5, 6, 6, 5, 8, 7, 7]",9,6,7.10,"[6, 7, 6, 6, 7, 7, 6, 9, 8, 9]",0.31
"['Shrinking::CycleShrink2', 'Shrinking::DeltaShrink']",988.93,"[94.32860118, 40.478196599, 70.67900633, 76.581467265, 90.052946594, 101.94519874, 56.248127309, 166.031180605, 152.069979847, 140.520152295]",284,1966,"[102, 113, 220, 124, 110, 260, 73, 256, 349, 359]",1589,"[82, 88, 168, 96, 90, 202, 58, 226, 301, 278]",8,5,5.70,"[5, 5, 5, 5, 6, 5, 5, 8, 7, 6]",9,6,6.70,"[6, 6, 6, 6, 7, 6, 6, 9, 8, 7]",0.50
"['Shrinking::RoughCycleShrink2', 'Shrinking::ElemShrink2']",2647.81,"[134.367391081, 192.470331569, 455.931238218, 158.465480619, 195.309087756, 261.67191685299997, 99.717231431, 250.76990956499998, 314.61296224299997, 584.493226013]",771,7407,"[217, 639, 1955, 314, 375, 741, 193, 658, 618, 1697]",5430,"[174, 444, 1372, 219, 309, 528, 141, 508, 513, 1222]",7,5,5.60,"[5, 5, 5, 5, 6, 5, 5, 7, 7, 6]",8,6,6.60,"[6, 6, 6, 6, 7, 6, 6, 8, 8, 7]",0.36
"['Shrinking::RoughCycleShrink2', 'Shrinking::BinaryShrink2']",2801.37,"[122.834349643, 218.84389639900002, 468.873793054, 166.792835853, 208.824195304, 270.066900752, 111.200994298, 272.166706681, 346.365342441, 615.40007454]",797,7479,"[221, 643, 1959, 317, 384, 745, 197, 674, 633, 1706]",5488,"[177, 447, 1375, 222, 316, 531, 144, 521, 526, 1229]",7,5,5.60,"[5, 5, 5, 5, 6, 5, 5, 7, 7, 6]",8,6,6.60,"[6, 6, 6, 6, 7, 6, 6, 8, 8, 7]",0.37
