# Shrunk traces: 10
# Start total, inputs: 2814, 102'
# Start: [6, 8, 3, 15, 12, 28, 16, 13, 22, 7]'
# Start inputs: [4, 7, 2, 12, 10, 22, 12, 10, 17, 6]'
# Start max, min, avg: 22, 2, 10.2'
shrinker,time,times,nr_tests,nr_steps,steps,nr_inputs,inputs,end_max,end_min,end_avg,end,end_all_max,end_all_min,end_all_avg,end_all,time_step
['Shrinking::ElemShrink2'],65.83,"[4.498312861, 5.042342523, 4.303275292, 14.039162329, 5.422324313, 9.333564059, 5.898091123, 5.808612089, 6.677192427, 4.80958255]",102,855,"[12, 27, 2, 81, 63, 297, 101, 74, 173, 25]",660,"[8, 22, 2, 74, 47, 224, 75, 50, 138, 20]",4,2,2.30,"[2, 2, 2, 4, 2, 3, 2, 2, 2, 2]",4,3,3.10,"[3, 3, 3, 4, 3, 3, 3, 3, 3, 3]",0.08
['Shrinking::BinaryShrink2'],59.22,"[4.507937547, 2.509399031, 2.249190248, 13.449635291, 4.845309107, 5.53116559, 7.328207536, 6.921602422, 4.969757515, 6.903302163]",58,295,"[12, 13, 1, 38, 26, 40, 65, 45, 28, 27]",224,"[8, 10, 1, 38, 18, 30, 47, 28, 22, 22]",4,2,2.60,"[2, 2, 2, 4, 2, 3, 3, 3, 2, 3]",5,3,3.60,"[3, 3, 3, 4, 3, 3, 5, 5, 3, 4]",0.20
['Shrinking::DeltaShrink'],78.73,"[4.601183152, 6.629441951, 2.398048506, 34.176335567, 7.238720127, 8.887759653, 4.692764264, 4.936984172, 2.653224517, 2.51776685]",63,242,"[11, 16, 4, 67, 25, 33, 22, 22, 29, 13]",203,"[8, 14, 3, 64, 20, 29, 17, 18, 20, 10]",4,2,2.30,"[2, 2, 2, 4, 2, 3, 2, 2, 2, 2]",4,3,3.10,"[3, 3, 3, 4, 3, 3, 3, 3, 3, 3]",0.33
['Shrinking::CycleShrink2'],3.67,"[0.134109406, 0.117023546, 0.118858469, 1.479668139, 0.263184691, 0.405055299, 0.125279564, 0.425456535, 0.465518525, 0.136983827]",18,129,"[4, 3, 3, 11, 8, 21, 5, 24, 44, 6]",107,"[3, 2, 2, 11, 5, 17, 4, 21, 37, 5]",11,2,4.40,"[3, 2, 2, 5, 2, 4, 4, 6, 11, 5]",13,3,5.40,"[4, 3, 3, 5, 3, 5, 5, 7, 13, 6]",0.03
['Shrinking::RoughCycleShrink2'],110.53,"[6.86769329, 2.249890096, 2.108821649, 43.831011344, 7.049221274, 7.04045658, 20.870554815, 11.486582119, 4.69114193, 4.337905648]",63,207,"[15, 4, 1, 83, 14, 12, 43, 22, 6, 7]",168,"[10, 3, 1, 76, 10, 10, 32, 16, 5, 5]",4,2,2.20,"[2, 2, 2, 4, 2, 2, 2, 2, 2, 2]",4,3,3.10,"[3, 3, 3, 4, 3, 3, 3, 3, 3, 3]",0.53
"['Shrinking::CycleShrink2', 'Shrinking::ElemShrink2']",54.85,"[4.698528345000001, 4.599829645000001, 4.45242829, 11.008995646999999, 4.481570871000001, 4.908844193, 4.784280218, 5.216973299, 5.917822178000001, 4.780290312]",62,286,"[9, 5, 5, 28, 10, 32, 14, 47, 112, 24]",238,"[7, 4, 4, 28, 7, 25, 11, 39, 94, 19]",4,2,2.20,"[2, 2, 2, 4, 2, 2, 2, 2, 2, 2]",4,3,3.10,"[3, 3, 3, 4, 3, 3, 3, 3, 3, 3]",0.19
"['Shrinking::CycleShrink2', 'Shrinking::BinaryShrink2']",49.53,"[2.3591792359999997, 2.224678795, 2.264191675, 13.664808937999998, 2.3716386970000003, 5.521278428, 2.469299807, 5.4331861880000005, 5.9978818270000005, 7.221192039]",51,227,"[8, 4, 4, 29, 9, 32, 13, 37, 66, 25]",188,"[6, 3, 3, 29, 6, 25, 10, 31, 55, 20]",4,2,2.30,"[2, 2, 2, 4, 2, 2, 2, 2, 2, 3]",4,3,3.20,"[3, 3, 3, 4, 3, 3, 3, 3, 3, 4]",0.22
"['Shrinking::CycleShrink2', 'Shrinking::DeltaShrink']",53.42,"[5.083750982000001, 2.800551808, 2.346166655, 22.418710083, 2.5267217520000003, 4.862058144, 4.464871903000001, 3.282453043, 3.095948303, 2.538444707]",56,236,"[11, 7, 7, 39, 12, 32, 13, 37, 64, 14]",195,"[8, 5, 5, 39, 8, 25, 10, 31, 53, 11]",4,2,2.20,"[2, 2, 2, 4, 2, 2, 2, 2, 2, 2]",4,3,3.10,"[3, 3, 3, 4, 3, 3, 3, 3, 3, 3]",0.23
"['Shrinking::RoughCycleShrink2', 'Shrinking::ElemShrink2']",158.69,"[11.263174461, 6.581746292, 6.531893075999999, 52.796218349, 11.417021509, 11.428030236, 25.229321032999998, 15.81977139, 8.974667684, 8.651998851999998]",85,237,"[17, 6, 3, 95, 16, 14, 45, 24, 8, 9]",198,"[12, 5, 3, 88, 12, 12, 34, 18, 7, 7]",4,2,2.20,"[2, 2, 2, 4, 2, 2, 2, 2, 2, 2]",4,3,3.10,"[3, 3, 3, 4, 3, 3, 3, 3, 3, 3]",0.67
"['Shrinking::RoughCycleShrink2', 'Shrinking::BinaryShrink2']",141.63,"[9.024752423, 4.427064407, 4.2180179859999996, 55.546546289, 9.196611984, 9.18987778, 23.0103518, 13.633209349, 6.936357391, 6.444938389999999]",77,228,"[16, 5, 2, 95, 15, 13, 44, 23, 7, 8]",189,"[11, 4, 2, 88, 11, 11, 33, 17, 6, 6]",4,2,2.20,"[2, 2, 2, 4, 2, 2, 2, 2, 2, 2]",4,3,3.10,"[3, 3, 3, 4, 3, 3, 3, 3, 3, 3]",0.62
