# Shrunk traces: 10
# Start total, inputs: 346, 267'
# Start: [20, 25, 26, 82, 41, 87, 10, 19, 31, 5]'
# Start inputs: [16, 19, 21, 64, 32, 66, 8, 14, 23, 4]'
# Start max, min, avg: 66, 4, 26.7'
shrinker,time,times,nr_tests,nr_steps,steps,nr_inputs,inputs,end_max,end_min,end_avg,end,end_all_max,end_all_min,end_all_avg,end_all,time_step
['Shrinking::ElemShrink2'],141.68,"[10.576574045, 13.106482074, 11.589094643, 25.893080195, 13.860318811, 27.04031693, 9.122271202, 10.181799263, 11.681685664, 8.628313078]",267,7125,"[150, 226, 262, 2563, 657, 2743, 47, 136, 329, 12]",5612,"[128, 181, 216, 2022, 505, 2155, 37, 97, 259, 12]",5,4,4.10,"[4, 5, 4, 4, 4, 4, 4, 4, 4, 4]",6,5,5.10,"[5, 6, 5, 5, 5, 5, 5, 5, 5, 5]",0.02
['Shrinking::BinaryShrink2'],120.29,"[11.10355107, 15.333026963, 11.100428114, 11.517414498, 11.607049263, 12.179734046, 13.012445808, 11.151831297, 11.820777005, 11.467741664]",87,541,"[37, 47, 37, 95, 76, 126, 35, 36, 40, 12]",456,"[33, 43, 33, 80, 61, 102, 28, 29, 35, 12]",5,4,4.10,"[4, 5, 4, 4, 4, 4, 4, 4, 4, 4]",6,5,5.10,"[5, 6, 5, 5, 5, 5, 5, 5, 5, 5]",0.22
['Shrinking::DeltaShrink'],267.67,"[37.447178535, 26.835588642, 24.366773584, 27.941268988, 41.852028343, 34.331739084, 20.333519257, 18.217673487, 22.942680968, 13.402922296]",149,920,"[89, 68, 68, 167, 147, 209, 35, 47, 75, 15]",769,"[82, 61, 60, 133, 117, 167, 33, 38, 63, 15]",5,4,4.10,"[4, 5, 4, 4, 4, 4, 4, 4, 4, 4]",6,5,5.10,"[5, 6, 5, 5, 5, 5, 5, 5, 5, 5]",0.29
['Shrinking::CycleShrink2'],2.71,"[0.158263873, 0.310296976, 0.298450493, 0.127448348, 0.58858444, 0.398782606, 0.276677846, 0.285778234, 0.142946357, 0.121737374]",19,157,"[5, 17, 18, 5, 41, 23, 16, 18, 9, 5]",128,"[4, 14, 15, 4, 32, 18, 13, 16, 8, 4]",8,4,5.60,"[4, 6, 6, 4, 6, 5, 6, 7, 8, 4]",9,5,6.60,"[5, 7, 7, 5, 7, 6, 7, 8, 9, 5]",0.02
['Shrinking::RoughCycleShrink2'],254.46,"[20.595078831, 36.529600189, 20.584264542, 21.541229562, 38.502034633, 28.842428991, 34.129601421, 20.053479062, 20.031985267, 13.653326998]",121,400,"[30, 57, 27, 27, 66, 58, 67, 27, 27, 14]",365,"[29, 55, 26, 26, 61, 47, 55, 26, 26, 14]",5,4,4.10,"[4, 5, 4, 4, 4, 4, 4, 4, 4, 4]",6,5,5.10,"[5, 6, 5, 5, 5, 5, 5, 5, 5, 5]",0.64
"['Shrinking::CycleShrink2', 'Shrinking::ElemShrink2']",113.88,"[10.998219849, 14.368108283, 11.381644198, 11.220558111999999, 11.749148528, 10.338520224, 11.756510861, 9.988503204, 11.976906569999999, 10.106390579000001]",75,375,"[17, 43, 41, 17, 65, 41, 39, 48, 47, 17]",331,"[16, 39, 36, 16, 54, 35, 34, 43, 42, 16]",5,4,4.10,"[4, 5, 4, 4, 4, 4, 4, 4, 4, 4]",6,5,5.10,"[5, 6, 5, 5, 5, 5, 5, 5, 5, 5]",0.30
"['Shrinking::CycleShrink2', 'Shrinking::BinaryShrink2']",133.79,"[13.226338342, 17.590984277, 12.599994108, 11.84809838, 12.421453631, 13.932231093999999, 12.308653637, 12.711648097000001, 12.201408713, 14.945815305]",80,338,"[17, 45, 35, 17, 65, 42, 33, 35, 32, 17]",300,"[16, 41, 31, 16, 54, 36, 29, 32, 29, 16]",5,4,4.10,"[4, 5, 4, 4, 4, 4, 4, 4, 4, 4]",6,5,5.10,"[5, 6, 5, 5, 5, 5, 5, 5, 5, 5]",0.40
"['Shrinking::CycleShrink2', 'Shrinking::DeltaShrink']",201.60,"[17.632884035, 36.754650885, 17.288887342000002, 14.955409349, 28.860731289, 19.907702573, 13.336271889, 15.496465184, 21.833043483, 15.537044849]",109,425,"[20, 67, 38, 20, 90, 52, 36, 42, 40, 20]",387,"[19, 63, 34, 19, 79, 46, 32, 39, 37, 19]",5,4,4.10,"[4, 5, 4, 4, 4, 4, 4, 4, 4, 4]",6,5,5.10,"[5, 6, 5, 5, 5, 5, 5, 5, 5, 5]",0.47
"['Shrinking::RoughCycleShrink2', 'Shrinking::ElemShrink2']",351.99,"[29.323731793999997, 48.753323928, 33.384754178, 30.849246034000004, 47.404516907, 37.829510573, 43.441110529999996, 28.962282723, 29.062747738, 22.983575869]",162,528,"[42, 77, 39, 39, 78, 70, 79, 39, 39, 26]",493,"[41, 75, 38, 38, 73, 59, 67, 38, 38, 26]",5,4,4.10,"[4, 5, 4, 4, 4, 4, 4, 4, 4, 4]",6,5,5.10,"[5, 6, 5, 5, 5, 5, 5, 5, 5, 5]",0.67
"['Shrinking::RoughCycleShrink2', 'Shrinking::BinaryShrink2']",383.32,"[31.717626045, 52.943597628999996, 34.392080902000004, 32.858369863, 50.175975353, 42.630506998, 49.460526853, 31.465778304, 31.895310102, 25.782462856000002]",173,531,"[42, 80, 39, 39, 78, 70, 79, 39, 39, 26]",496,"[41, 78, 38, 38, 73, 59, 67, 38, 38, 26]",5,4,4.10,"[4, 5, 4, 4, 4, 4, 4, 4, 4, 4]",6,5,5.10,"[5, 6, 5, 5, 5, 5, 5, 5, 5, 5]",0.72
