# Shrunk traces: 10
# Start total, inputs: 430, 322'
# Start: [10, 30, 28, 17, 108, 7, 80, 127, 14, 9]'
# Start inputs: [7, 22, 20, 12, 87, 5, 61, 91, 11, 6]'
# Start max, min, avg: 91, 5, 32.2'
shrinker,time,times,nr_tests,nr_steps,steps,nr_inputs,inputs,end_max,end_min,end_avg,end,end_all_max,end_all_min,end_all_avg,end_all,time_step
['Shrinking::ElemShrink2'],140.41,"[5.063210771, 8.106688966, 7.393309953, 5.854922959, 35.064134407, 4.664668525, 22.292484605, 41.448220503, 5.736742667, 4.784104343]",322,13390,"[30, 321, 262, 80, 4646, 15, 2401, 5537, 74, 24]",10013,"[22, 232, 179, 56, 3742, 11, 1768, 3929, 57, 17]",2,2,2.00,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",3,3,3.00,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",0.01
['Shrinking::BinaryShrink2'],39.22,"[2.542944859, 2.861486851, 4.874153867, 4.764233558, 3.547219603, 2.440791006, 3.224227422, 5.44455065, 4.880991327, 4.642899975]",60,433,"[13, 41, 31, 23, 123, 8, 76, 79, 23, 16]",320,"[10, 29, 20, 15, 96, 6, 54, 60, 18, 12]",2,2,2.00,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",3,3,3.00,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",0.09
['Shrinking::DeltaShrink'],78.54,"[6.628479017, 9.143879882, 4.981614219, 6.953096418, 17.161682075, 6.624201804, 9.813047231, 7.735697111, 4.809806483, 4.685141478]",74,648,"[17, 61, 34, 32, 224, 13, 127, 103, 23, 14]",496,"[14, 45, 26, 23, 180, 11, 95, 74, 18, 10]",2,2,2.00,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",3,3,3.00,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",0.12
['Shrinking::CycleShrink2'],2.11,"[0.141179431, 0.301856578, 0.275750288, 0.478459859, 0.132064277, 0.170165981, 0.172317209, 0.150688405, 0.137540109, 0.145003628]",14,63,"[3, 9, 10, 18, 3, 3, 3, 5, 4, 5]",43,"[2, 6, 6, 12, 2, 2, 2, 4, 3, 4]",4,2,2.60,"[2, 2, 2, 3, 2, 2, 2, 4, 3, 4]",5,3,3.60,"[3, 3, 3, 4, 3, 3, 3, 5, 4, 5]",0.03
['Shrinking::RoughCycleShrink2'],44.17,"[2.480052942, 2.486308488, 4.363989272, 7.194780003, 2.452290338, 2.288835566, 2.354060464, 6.715529184, 6.925654314, 6.904255037]",33,78,"[4, 4, 7, 15, 4, 4, 4, 12, 12, 12]",60,"[3, 3, 5, 10, 3, 3, 3, 10, 10, 10]",2,2,2.00,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",3,3,3.00,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",0.57
"['Shrinking::CycleShrink2', 'Shrinking::ElemShrink2']",47.21,"[4.722486068, 4.698126058, 4.491924013, 5.114903016, 4.9647269949999995, 4.963898934, 4.392149258, 4.655771140000001, 4.504858516, 4.702490287]",40,106,"[5, 11, 12, 23, 5, 5, 5, 15, 10, 15]",80,"[4, 8, 8, 16, 4, 4, 4, 12, 8, 12]",2,2,2.00,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",3,3,3.00,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",0.45
"['Shrinking::CycleShrink2', 'Shrinking::BinaryShrink2']",31.04,"[2.2798205439999997, 2.409540012, 2.384191047, 2.736886187, 2.240243408, 2.5402953019999996, 2.281844539, 4.917792996, 4.603226497, 4.645533519000001]",33,99,"[4, 10, 11, 22, 4, 4, 4, 15, 10, 15]",73,"[3, 7, 7, 15, 3, 3, 3, 12, 8, 12]",2,2,2.00,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",3,3,3.00,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",0.31
"['Shrinking::CycleShrink2', 'Shrinking::DeltaShrink']",32.17,"[2.388975182, 2.5605141590000002, 2.5236616109999996, 4.873082338, 2.376493992, 2.6249207909999996, 2.410709386, 4.7021568060000005, 2.3792399100000003, 5.330978737000001]",39,117,"[7, 13, 14, 24, 7, 7, 7, 15, 8, 15]",85,"[5, 9, 9, 17, 5, 5, 5, 12, 6, 12]",2,2,2.00,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",3,3,3.00,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",0.27
"['Shrinking::RoughCycleShrink2', 'Shrinking::ElemShrink2']",88.91,"[7.054182922999999, 6.728330757, 8.598797884, 11.582497512, 7.087913953, 6.505909188, 6.866060312, 11.452767738, 11.555281723, 11.473887957]",53,98,"[6, 6, 9, 17, 6, 6, 6, 14, 14, 14]",80,"[5, 5, 7, 12, 5, 5, 5, 12, 12, 12]",2,2,2.00,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",3,3,3.00,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",0.91
"['Shrinking::RoughCycleShrink2', 'Shrinking::BinaryShrink2']",66.69,"[4.973928558, 4.59507229, 6.746860626, 9.304487903, 4.6236858000000005, 4.3981204599999995, 4.653533059, 9.343280352, 9.032596821, 9.021560848]",43,88,"[5, 5, 8, 16, 5, 5, 5, 13, 13, 13]",70,"[4, 4, 6, 11, 4, 4, 4, 11, 11, 11]",2,2,2.00,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",3,3,3.00,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",0.76
"['Shrinking::RoughCycleShrink2', 'Shrinking::DeltaShrink']",67.61,"[4.7683184149999995, 4.742879179, 6.611360833000001, 9.778773593, 5.314454102, 4.5344183000000005, 4.5934366, 8.955713922000001, 9.164631953, 9.142525633]",53,118,"[8, 8, 11, 19, 8, 8, 8, 16, 16, 16]",90,"[6, 6, 8, 13, 6, 6, 6, 13, 13, 13]",2,2,2.00,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",3,3,3.00,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",0.57

