# Shrunk traces: 10
# Start total, inputs: 7542, 1406'
# Start: [347, 207, 325, 19, 501, 35, 22, 318, 39, 13]'
# Start inputs: [265, 155, 257, 13, 388, 27, 16, 245, 31, 9]'
# Start max, min, avg: 388, 9, 140.6'
shrinker,time,times,nr_tests,nr_steps,steps,nr_inputs,inputs,end_max,end_min,end_avg,end,end_all_max,end_all_min,end_all_avg,end_all,time_step
['Shrinking::ElemShrink2'],1558.78,"[274.952523265, 103.382554537, 252.964547972, 12.35745112, 586.155096639, 29.66314383, 13.348853998, 242.481983058, 31.724785106, 11.752260099]",1406,239742,"[45342, 15964, 41128, 143, 97177, 497, 180, 38614, 621, 76]",186083,"[34996, 11949, 32919, 96, 75136, 399, 137, 29916, 483, 52]",7,5,5.30,"[5, 5, 5, 5, 5, 7, 5, 5, 6, 5]",9,6,6.90,"[6, 7, 6, 7, 7, 9, 6, 7, 7, 7]",0.01
['Shrinking::BinaryShrink2'],217.50,"[20.186975589, 19.090679493, 19.101475674, 18.8020943, 26.455630669, 31.499723914, 17.595597918, 21.232423187, 24.423921405, 19.106844501]",158,3067,"[407, 252, 419, 128, 893, 262, 85, 442, 102, 77]",2377,"[321, 193, 347, 86, 675, 218, 68, 336, 80, 53]",7,5,5.40,"[5, 5, 5, 5, 6, 7, 5, 5, 6, 5]",9,6,7.00,"[6, 7, 6, 7, 8, 9, 6, 7, 7, 7]",0.07
['Shrinking::DeltaShrink'],730.59,"[68.858213004, 60.597112451, 76.279745567, 61.624061952, 60.149710438, 77.082442182, 80.02796301, 110.924308936, 71.687582864, 63.359346847]",342,5142,"[796, 513, 786, 158, 1076, 355, 241, 874, 197, 146]",3996,"[622, 391, 640, 117, 830, 279, 184, 672, 156, 105]",6,5,5.10,"[5, 5, 5, 5, 5, 5, 5, 5, 6, 5]",7,6,6.60,"[6, 7, 6, 7, 7, 6, 6, 7, 7, 7]",0.14
['Shrinking::CycleShrink2'],51.92,"[11.800274476, 4.035049713, 0.169826699, 8.032912831, 11.23960379, 3.17415326, 5.378078056, 6.19750764, 1.335367143, 0.558637682]",44,621,"[53, 34, 12, 48, 309, 27, 40, 55, 16, 27]",477,"[40, 29, 10, 33, 241, 22, 31, 40, 13, 18]",18,5,8.00,"[7, 10, 10, 5, 18, 5, 7, 7, 6, 5]",21,6,9.90,"[9, 12, 12, 7, 21, 6, 9, 9, 7, 7]",0.08
['Shrinking::RoughCycleShrink2'],1724.45,"[60.016194072, 70.742728532, 197.948521946, 129.039285714, 302.875369647, 249.630864477, 212.507675883, 247.294562042, 152.125559215, 102.269872732]",487,3810,"[110, 122, 427, 310, 1045, 514, 403, 493, 195, 191]",2916,"[88, 101, 346, 219, 755, 434, 309, 363, 161, 140]",6,5,5.10,"[5, 5, 5, 5, 5, 5, 5, 5, 6, 5]",7,6,6.50,"[6, 7, 6, 7, 6, 6, 6, 7, 7, 7]",0.45
"['Shrinking::CycleShrink2', 'Shrinking::ElemShrink2']",276.06,"[28.400800328000003, 19.710249106, 16.024241426, 26.190415709, 38.21963997, 26.569317735000002, 27.669146704, 40.084235227, 28.758250602, 24.432951904]",124,1250,"[94, 108, 94, 73, 540, 52, 84, 101, 52, 52]",993,"[72, 88, 78, 53, 435, 42, 67, 77, 43, 38]",6,5,5.10,"[5, 5, 5, 5, 5, 5, 5, 5, 6, 5]",7,6,6.70,"[7, 7, 6, 7, 7, 6, 6, 7, 7, 7]",0.22
"['Shrinking::CycleShrink2', 'Shrinking::BinaryShrink2']",373.93,"[36.732307115, 39.699320517, 29.458349859000002, 41.013603578, 57.445538742, 27.468209619, 38.159368167, 34.742226707, 36.311895209999996, 32.902523007999996]",135,1203,"[99, 87, 96, 77, 473, 55, 91, 108, 61, 56]",958,"[76, 72, 81, 56, 381, 45, 73, 83, 50, 41]",6,5,5.10,"[5, 5, 5, 5, 5, 5, 5, 5, 6, 5]",7,6,6.70,"[7, 7, 6, 7, 7, 6, 6, 7, 7, 7]",0.31
"['Shrinking::CycleShrink2', 'Shrinking::DeltaShrink']",745.22,"[77.309650244, 96.39637765200001, 65.628996424, 52.145481445, 81.819512766, 44.850690535, 109.11059084499999, 91.13598331, 64.861712141, 61.960422967]",201,1315,"[116, 152, 85, 86, 387, 64, 125, 158, 77, 65]",1033,"[91, 124, 70, 63, 302, 52, 98, 123, 62, 48]",6,5,5.10,"[5, 5, 5, 5, 5, 5, 5, 5, 6, 5]",7,6,6.60,"[6, 7, 6, 7, 7, 6, 6, 7, 7, 7]",0.57
"['Shrinking::RoughCycleShrink2', 'Shrinking::ElemShrink2']",1993.47,"[85.820426805, 87.948029124, 224.185346539, 156.723127632, 324.684200535, 275.816297206, 240.439917675, 273.747981224, 195.482524573, 128.620062005]",538,4071,"[135, 147, 452, 335, 1070, 539, 428, 518, 231, 216]",3126,"[108, 121, 366, 239, 775, 454, 329, 383, 191, 160]",6,5,5.10,"[5, 5, 5, 5, 5, 5, 5, 5, 6, 5]",7,6,6.50,"[6, 7, 6, 7, 6, 6, 6, 7, 7, 7]",0.49
"['Shrinking::RoughCycleShrink2', 'Shrinking::BinaryShrink2']",2036.87,"[87.30617957, 104.08141768, 226.789734776, 162.52634997599998, 350.35385895400003, 274.71201528899996, 240.45716340599998, 275.499773039, 187.266769645, 127.881610419]",559,4113,"[138, 150, 456, 339, 1074, 542, 432, 522, 240, 220]",3160,"[111, 124, 369, 242, 778, 457, 332, 386, 198, 163]",6,5,5.10,"[5, 5, 5, 5, 5, 5, 5, 5, 6, 5]",7,6,6.50,"[6, 7, 6, 7, 6, 6, 6, 7, 7, 7]",0.50
