# Shrunk traces: 10
# Start total, inputs: 33207, 398'
# Start: [15, 155, 33, 43, 51, 19, 44, 24, 47, 81]'
# Start inputs: [13, 115, 27, 35, 37, 16, 36, 17, 39, 63]'
# Start max, min, avg: 115, 13, 39.8'
shrinker,time,times,nr_tests,nr_steps,steps,nr_inputs,inputs,end_max,end_min,end_avg,end,end_all_max,end_all_min,end_all_avg,end_all,time_step
['Shrinking::ElemShrink2'],372.11,"[13.174327962, 116.661163337, 24.909167572, 29.332332709, 31.079229098, 16.955470537, 31.511387385, 17.627788223, 34.038962003, 56.821362476]",398,15301,"[89, 8633, 429, 757, 955, 143, 741, 204, 805, 2545]",11826,"[86, 6566, 357, 599, 672, 127, 605, 149, 699, 1966]",4,3,3.70,"[3, 4, 4, 3, 3, 4, 4, 4, 4, 4]",4,3,3.70,"[3, 4, 4, 3, 3, 4, 4, 4, 4, 4]",0.02
['Shrinking::BinaryShrink2'],144.27,"[11.311691869, 19.132809025, 13.594974922, 9.821561608, 12.896298813, 12.978765395, 15.82813871, 16.276869585, 14.785013572, 17.639515965]",101,816,"[49, 201, 46, 60, 74, 34, 97, 72, 56, 127]",666,"[49, 158, 43, 47, 57, 32, 76, 52, 53, 99]",4,3,3.70,"[3, 4, 4, 3, 3, 4, 4, 4, 4, 4]",4,3,3.70,"[3, 4, 4, 3, 3, 4, 4, 4, 4, 4]",0.18
['Shrinking::DeltaShrink'],384.25,"[35.02167568, 46.886558282, 21.934483977, 23.578495382, 29.159246818, 38.807044369, 57.385983758, 37.301884734, 26.41511357, 67.760076922]",201,1490,"[82, 358, 74, 106, 127, 84, 188, 103, 104, 264]",1226,"[79, 280, 66, 86, 97, 78, 150, 79, 93, 218]",4,3,3.70,"[3, 4, 4, 3, 3, 4, 4, 4, 4, 4]",4,3,3.70,"[3, 4, 4, 3, 3, 4, 4, 4, 4, 4]",0.26
['Shrinking::CycleShrink2'],27.72,"[2.172898197, 2.572970006, 0.715304636, 5.69915171, 1.991403988, 1.300687402, 3.978768561, 2.953188945, 2.147748498, 4.192130576]",31,326,"[17, 38, 8, 76, 10, 6, 47, 20, 39, 65]",289,"[17, 34, 8, 65, 9, 6, 39, 16, 39, 56]",12,4,7.20,"[4, 10, 8, 8, 4, 6, 7, 4, 12, 9]",12,4,7.20,"[4, 10, 8, 8, 4, 6, 7, 4, 12, 9]",0.09
['Shrinking::RoughCycleShrink2'],488.43,"[67.134384931, 69.424746528, 20.751351056, 18.567154897, 32.858243267, 34.736720039, 72.901687253, 83.582545305, 10.491248168, 77.978264656]",214,1047,"[167, 169, 26, 25, 56, 51, 181, 193, 11, 168]",856,"[151, 134, 26, 23, 50, 50, 137, 142, 11, 132]",4,3,3.60,"[3, 4, 4, 3, 3, 4, 4, 4, 3, 4]",4,3,3.60,"[3, 4, 4, 3, 3, 4, 4, 4, 3, 4]",0.47
"['Shrinking::CycleShrink2', 'Shrinking::ElemShrink2']",159.17,"[10.286276381, 18.620140566, 15.878762095, 17.543534216, 11.324139101, 12.987411081, 17.884383723, 12.988204444, 19.589136267999997, 22.070916891]",103,644,"[27, 89, 42, 107, 21, 28, 74, 32, 113, 111]",607,"[27, 85, 42, 96, 20, 28, 66, 28, 113, 102]",4,3,3.70,"[3, 4, 4, 3, 3, 4, 4, 4, 4, 4]",4,3,3.70,"[3, 4, 4, 3, 3, 4, 4, 4, 4, 4]",0.25
"['Shrinking::CycleShrink2', 'Shrinking::BinaryShrink2']",162.16,"[10.835999528, 18.004425368, 14.467888029000001, 17.420896263, 14.2067131, 15.780681036999999, 18.262790043, 15.518726037, 16.538384054999998, 21.123034443]",95,532,"[26, 60, 29, 89, 22, 28, 63, 32, 77, 106]",495,"[26, 56, 29, 78, 21, 28, 55, 28, 77, 97]",4,3,3.70,"[3, 4, 4, 3, 3, 4, 4, 4, 4, 4]",4,3,3.70,"[3, 4, 4, 3, 3, 4, 4, 4, 4, 4]",0.30
"['Shrinking::CycleShrink2', 'Shrinking::DeltaShrink']",267.24,"[16.749010294999998, 26.968655496999997, 21.37883182, 22.964906564, 7.656313763, 60.690354017000004, 23.509779265, 19.923184684000002, 21.94462077, 45.454467075]",121,611,"[32, 74, 33, 98, 17, 55, 71, 35, 69, 127]",567,"[32, 69, 32, 86, 16, 53, 62, 31, 69, 117]",4,3,3.70,"[3, 4, 4, 3, 3, 4, 4, 4, 4, 4]",4,3,3.70,"[3, 4, 4, 3, 3, 4, 4, 4, 4, 4]",0.44
"['Shrinking::RoughCycleShrink2', 'Shrinking::ElemShrink2']",579.44,"[73.910852193, 78.587776799, 31.587193616, 25.255751307, 45.364258301999996, 43.685896075, 81.8199002, 92.965454878, 19.193366457, 87.068968164]",250,1143,"[173, 181, 38, 31, 62, 63, 193, 205, 17, 180]",952,"[157, 146, 38, 29, 56, 62, 149, 154, 17, 144]",4,3,3.60,"[3, 4, 4, 3, 3, 4, 4, 4, 3, 4]",4,3,3.60,"[3, 4, 4, 3, 3, 4, 4, 4, 3, 4]",0.51
"['Shrinking::RoughCycleShrink2', 'Shrinking::BinaryShrink2']",604.89,"[76.176177212, 83.10076859, 34.387995629, 27.293331073, 39.895918924, 48.45546783899999, 86.68473643600001, 95.59295641599999, 19.393627119, 93.913032057]",256,1139,"[172, 181, 38, 30, 61, 63, 193, 205, 16, 180]",948,"[156, 146, 38, 28, 55, 62, 149, 154, 16, 144]",4,3,3.60,"[3, 4, 4, 3, 3, 4, 4, 4, 3, 4]",4,3,3.60,"[3, 4, 4, 3, 3, 4, 4, 4, 3, 4]",0.53
