# Shrunk traces: 10
# Start total, inputs: 218, 159'
# Start: [16, 12, 12, 35, 88, 4, 13, 3, 30, 5]'
# Start inputs: [12, 10, 9, 26, 63, 3, 10, 2, 21, 3]'
# Start max, min, avg: 63, 2, 15.9'
shrinker,time,times,nr_tests,nr_steps,steps,nr_inputs,inputs,end_max,end_min,end_avg,end,end_all_max,end_all_min,end_all_avg,end_all,time_step
['Shrinking::ElemShrink2'],76.21,"[6.011527584, 5.481218762, 5.23918362, 8.5340537, 24.456925843, 4.352344297, 5.462485796, 4.23269104, 8.019361608, 4.415241097]",159,3739,"[88, 61, 52, 428, 2713, 6, 65, 2, 317, 7]",2655,"[67, 47, 38, 326, 1908, 5, 46, 2, 211, 5]",2,2,2.00,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",3,3,3.00,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",0.02
['Shrinking::BinaryShrink2'],35.72,"[2.80391648, 4.8016483, 4.861612256, 3.008293663, 3.444765511, 4.39330626, 2.860235886, 2.163549837, 2.983407176, 4.400584784]",46,286,"[23, 24, 17, 45, 98, 6, 24, 1, 41, 7]",204,"[17, 18, 13, 33, 69, 5, 16, 1, 27, 5]",2,2,2.00,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",3,3,3.00,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",0.12
['Shrinking::DeltaShrink'],76.47,"[9.099413578, 9.074725666, 4.853718508, 11.663901383, 14.125371698, 2.296414192, 9.058935338, 2.278898632, 11.755033391, 2.263668781]",62,432,"[32, 27, 22, 73, 172, 4, 28, 4, 66, 4]",315,"[25, 22, 16, 55, 120, 3, 22, 3, 46, 3]",2,2,2.00,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",3,3,3.00,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",0.18
['Shrinking::CycleShrink2'],2.63,"[0.514894608, 0.164495328, 0.317554386, 0.523257376, 0.166286155, 0.155962768, 0.324292252, 0.156653895, 0.153106326, 0.155617002]",16,93,"[23, 3, 14, 25, 5, 4, 10, 3, 3, 3]",71,"[18, 2, 11, 20, 4, 3, 7, 2, 2, 2]",5,2,3.30,"[5, 2, 5, 5, 4, 3, 3, 2, 2, 2]",6,3,4.30,"[6, 3, 6, 6, 5, 4, 4, 3, 3, 3]",0.03
['Shrinking::RoughCycleShrink2'],32.00,"[2.271334869, 2.267543321, 6.718437073, 2.305470112, 2.487272301, 4.404730636, 2.389515538, 2.11255094, 2.554198877, 4.488626403]",24,50,"[4, 4, 12, 4, 4, 6, 4, 1, 4, 7]",39,"[3, 3, 10, 3, 3, 5, 3, 1, 3, 5]",2,2,2.00,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",3,3,3.00,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",0.64
"['Shrinking::CycleShrink2', 'Shrinking::ElemShrink2']",48.08,"[5.294841937999999, 4.398003637, 5.2846894330000005, 5.368144636, 4.797350267, 4.576202705, 4.935864685, 4.509740648999999, 4.526538194, 4.3878828599999995]",49,164,"[37, 5, 29, 39, 14, 10, 15, 5, 5, 5]",129,"[29, 4, 23, 31, 11, 8, 11, 4, 4, 4]",2,2,2.00,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",3,3,3.00,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",0.29
"['Shrinking::CycleShrink2', 'Shrinking::BinaryShrink2']",30.28,"[2.9905196960000002, 2.277789908, 5.020236005, 2.971083004, 2.622237783, 4.959434581, 2.627454834, 2.271901146, 2.269121556, 2.273994955]",38,141,"[31, 4, 24, 33, 13, 10, 14, 4, 4, 4]",109,"[24, 3, 19, 26, 10, 8, 10, 3, 3, 3]",2,2,2.00,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",3,3,3.00,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",0.21
"['Shrinking::CycleShrink2', 'Shrinking::DeltaShrink']",42.67,"[7.402518789999999, 2.799413904, 5.27878266, 7.453371272, 4.781281519, 2.4379506380000002, 4.759775815, 2.8324017429999997, 2.42126756, 2.5025999580000002]",47,165,"[36, 7, 24, 38, 15, 8, 16, 7, 7, 7]",129,"[29, 5, 19, 31, 12, 6, 12, 5, 5, 5]",2,2,2.00,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",3,3,3.00,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",0.26
"['Shrinking::RoughCycleShrink2', 'Shrinking::ElemShrink2']",75.06,"[6.528249671999999, 6.590696088, 10.952188574000001, 6.581825477, 6.717691794, 8.637063823, 7.133777422, 6.366741364, 6.836592588, 8.719337013]",44,70,"[6, 6, 14, 6, 6, 8, 6, 3, 6, 9]",59,"[5, 5, 12, 5, 5, 7, 5, 3, 5, 7]",2,2,2.00,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",3,3,3.00,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",1.07
"['Shrinking::RoughCycleShrink2', 'Shrinking::BinaryShrink2']",54.90,"[4.759387264, 4.383157023, 8.834413762, 4.470005458, 5.112735253, 6.534453975, 4.844558601999999, 4.285630435, 4.67216343, 7.005096416999999]",34,60,"[5, 5, 13, 5, 5, 7, 5, 2, 5, 8]",49,"[4, 4, 11, 4, 4, 6, 4, 2, 4, 6]",2,2,2.00,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",3,3,3.00,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",0.92
