# Shrunk traces: 10
# Start total, inputs: 1058, 804'
# Start: [132, 202, 22, 129, 72, 253, 53, 59, 89, 47]'
# Start inputs: [100, 159, 14, 93, 55, 191, 41, 45, 69, 37]'
# Start max, min, avg: 191, 14, 80.4'
shrinker,time,times,nr_tests,nr_steps,steps,nr_inputs,inputs,end_max,end_min,end_avg,end,end_all_max,end_all_min,end_all_avg,end_all,time_step
['Shrinking::ElemShrink2'],493.53,"[51.386430315, 111.323291335, 10.202571628, 45.637997792, 25.063211459, 158.211282364, 19.555242054, 20.924064366, 33.310981159, 17.911974722]",804,61342,"[6530, 16487, 172, 5925, 1974, 23879, 1049, 1362, 3110, 854]",46521,"[4986, 12576, 114, 4301, 1503, 18166, 830, 1005, 2359, 681]",5,4,4.80,"[5, 5, 4, 4, 5, 5, 5, 5, 5, 5]",6,5,5.80,"[6, 6, 5, 5, 6, 6, 6, 6, 6, 6]",0.01
['Shrinking::BinaryShrink2'],177.41,"[22.506894007, 18.218118658, 14.176924465, 15.321227602, 17.02811835, 22.625253189, 16.137390675, 17.60512736, 16.902757601, 16.89115138]",151,2156,"[395, 285, 163, 270, 161, 405, 75, 144, 147, 111]",1643,"[313, 221, 108, 198, 126, 303, 65, 107, 114, 88]",6,4,5.00,"[6, 5, 4, 4, 5, 6, 5, 5, 5, 5]",8,5,6.10,"[7, 6, 5, 5, 6, 8, 6, 6, 6, 6]",0.08
['Shrinking::DeltaShrink'],721.40,"[92.040390991, 56.715463226, 75.22897164, 99.992493917, 58.151036096, 84.577426984, 48.765136604, 78.862705633, 64.983374202, 62.082924613]",354,3735,"[591, 509, 266, 597, 246, 647, 152, 270, 269, 188]",2941,"[473, 401, 192, 455, 203, 504, 132, 211, 214, 156]",5,4,4.80,"[5, 5, 4, 4, 5, 5, 5, 5, 5, 5]",6,5,5.80,"[6, 6, 5, 5, 6, 6, 6, 6, 6, 6]",0.19
['Shrinking::CycleShrink2'],288.44,"[39.977071414, 7.996632411, 6.757422697, 27.212137113, 77.815967827, 73.170743253, 2.459585649, 26.175801159, 13.178360608, 13.698068224]",121,1218,"[232, 28, 93, 119, 242, 264, 9, 100, 45, 86]",966,"[176, 26, 64, 90, 197, 218, 8, 80, 39, 68]",11,5,7.10,"[8, 8, 7, 5, 7, 5, 5, 6, 11, 9]",13,6,8.70,"[10, 10, 9, 6, 9, 6, 6, 7, 13, 11]",0.24
['Shrinking::RoughCycleShrink2'],1876.17,"[292.121231896, 154.405127797, 129.065159424, 173.179879086, 186.211953481, 374.678965443, 70.972330786, 171.270385725, 146.828602919, 177.438027863]",508,3868,"[995, 231, 342, 377, 449, 723, 58, 260, 177, 256]",3113,"[756, 215, 229, 291, 371, 616, 55, 212, 153, 215]",5,4,4.80,"[4, 5, 4, 5, 5, 5, 5, 5, 5, 5]",6,5,5.80,"[5, 6, 5, 6, 6, 6, 6, 6, 6, 6]",0.49
"['Shrinking::CycleShrink2', 'Shrinking::ElemShrink2']",476.34,"[61.383939299000005, 35.359006551, 19.677074704, 41.807427892999996, 94.93095517699999, 92.290295218, 19.322125454000002, 43.315361796, 35.041314419, 33.209974098]",192,1616,"[279, 76, 130, 140, 279, 285, 30, 127, 127, 143]",1315,"[217, 69, 96, 109, 229, 238, 28, 105, 107, 117]",5,4,4.70,"[5, 5, 4, 4, 5, 5, 5, 5, 4, 5]",6,5,5.70,"[6, 6, 5, 5, 6, 6, 6, 6, 5, 6]",0.29
"['Shrinking::CycleShrink2', 'Shrinking::BinaryShrink2']",546.99,"[63.717948755, 33.589772953, 24.386838709, 64.156111408, 101.63465766799999, 103.078769444, 26.094666223, 52.32349216, 35.556858269, 42.452752361]",206,1614,"[286, 74, 132, 144, 283, 288, 33, 129, 105, 140]",1319,"[223, 68, 98, 113, 233, 241, 31, 107, 90, 115]",5,4,4.70,"[5, 5, 4, 4, 5, 5, 5, 5, 4, 5]",6,5,5.70,"[6, 6, 5, 5, 6, 6, 6, 6, 5, 6]",0.34
"['Shrinking::CycleShrink2', 'Shrinking::DeltaShrink']",1051.57,"[144.992101939, 80.85583644299999, 90.249603555, 74.48628639500001, 169.94179516399998, 112.482842765, 39.071073788, 84.523325916, 151.801346948, 103.168790524]",305,1971,"[345, 113, 186, 158, 322, 295, 40, 159, 168, 185]",1645,"[277, 102, 146, 126, 268, 248, 38, 136, 147, 157]",5,4,4.70,"[5, 5, 4, 4, 5, 5, 5, 5, 4, 5]",6,5,5.70,"[6, 6, 5, 5, 6, 6, 6, 6, 5, 6]",0.53
"['Shrinking::RoughCycleShrink2', 'Shrinking::ElemShrink2']",2126.37,"[309.163077716, 180.136767026, 145.763387539, 202.050974602, 221.203964384, 403.29445294799996, 94.992890327, 195.243938121, 171.35924326499998, 203.162480171]",556,4062,"[1008, 252, 355, 398, 470, 744, 79, 281, 198, 277]",3297,"[768, 235, 241, 311, 391, 636, 75, 232, 173, 235]",5,4,4.80,"[4, 5, 4, 5, 5, 5, 5, 5, 5, 5]",6,5,5.80,"[5, 6, 5, 6, 6, 6, 6, 6, 6, 6]",0.52
"['Shrinking::RoughCycleShrink2', 'Shrinking::BinaryShrink2']",2200.62,"[316.32561593099996, 191.062860354, 148.920733312, 207.96916806299998, 232.397687341, 406.597412572, 101.388914101, 208.488938845, 174.307734421, 213.161102937]",574,4086,"[1008, 255, 355, 401, 473, 747, 82, 284, 201, 280]",3321,"[768, 238, 241, 314, 394, 639, 78, 235, 176, 238]",5,4,4.80,"[4, 5, 4, 5, 5, 5, 5, 5, 5, 5]",6,5,5.80,"[5, 6, 5, 6, 6, 6, 6, 6, 6, 6]",0.54
"['Shrinking::RoughCycleShrink2', 'Shrinking::DeltaShrink']",2319.65,"[319.39164106699997, 197.517447582, 154.550191198, 256.306942537, 230.887744767, 416.35511833199996, 116.64420355600001, 216.49337869700003, 188.773097268, 222.72673148500002]",600,4148,"[1011, 262, 358, 408, 480, 754, 89, 291, 208, 287]",3383,"[771, 245, 244, 321, 401, 646, 85, 242, 183, 245]",5,4,4.80,"[4, 5, 4, 5, 5, 5, 5, 5, 5, 5]",6,5,5.80,"[5, 6, 5, 6, 6, 6, 6, 6, 6, 6]",0.56

