# Shrunk traces: 10
# Start total, inputs: 2276, 1732'
# Start: [56, 546, 86, 22, 130, 528, 39, 236, 482, 151]'
# Start inputs: [43, 411, 63, 17, 101, 411, 28, 180, 366, 112]'
# Start max, min, avg: 411, 17, 173.2'
shrinker,time,times,nr_tests,nr_steps,steps,nr_inputs,inputs,end_max,end_min,end_avg,end,end_all_max,end_all_min,end_all_avg,end_all,time_step
['Shrinking::ElemShrink2'],2371.46,"[22.594634041, 684.156300987, 32.017921368, 14.846160473, 61.44463394, 705.502250163, 18.026988049, 155.540611088, 608.431104141, 68.900868916]",1732,351767,"[1182, 113759, 2699, 195, 6686, 108200, 544, 20995, 88945, 8562]",266382,"[920, 84336, 1984, 155, 5090, 84279, 397, 16153, 66842, 6226]",8,5,6.50,"[6, 7, 6, 6, 8, 6, 6, 8, 7, 5]",10,7,8.50,"[8, 9, 8, 8, 10, 8, 8, 10, 9, 7]",0.01
['Shrinking::BinaryShrink2'],260.32,"[21.430811728, 35.609654779, 22.40626712, 20.956419235, 32.245796182, 23.580644326, 21.879587616, 32.055452515, 33.98796576, 16.166684244]",174,3712,"[108, 1002, 220, 76, 284, 647, 100, 395, 695, 185]",2830,"[88, 730, 167, 65, 223, 504, 79, 314, 523, 137]",8,5,6.60,"[6, 8, 6, 6, 8, 6, 6, 8, 7, 5]",10,7,8.60,"[8, 10, 8, 8, 10, 8, 8, 10, 9, 7]",0.07
['Shrinking::DeltaShrink'],871.50,"[48.44270629, 108.878074391, 116.049986529, 63.118872042, 105.788099246, 102.723283142, 51.131312252, 94.43551515, 127.519576218, 53.414024039]",380,6271,"[186, 1427, 466, 137, 474, 1257, 155, 585, 1248, 336]",4861,"[154, 1063, 365, 119, 383, 987, 121, 447, 966, 256]",7,5,5.80,"[6, 6, 6, 6, 6, 6, 5, 5, 7, 5]",9,7,7.80,"[8, 8, 8, 8, 8, 8, 7, 7, 9, 7]",0.14
['Shrinking::CycleShrink2'],98.99,"[8.999695409, 12.408917243, 0.562011891, 0.229496302, 11.398148519, 9.609484906, 2.194310894, 49.876269745, 0.521483028, 3.188044024]",49,501,"[27, 105, 48, 10, 37, 33, 50, 140, 42, 9]",411,"[22, 79, 37, 8, 33, 27, 40, 124, 34, 7]",16,5,9.50,"[7, 8, 11, 8, 10, 8, 12, 10, 16, 5]",19,7,11.70,"[9, 10, 14, 10, 12, 10, 14, 12, 19, 7]",0.20
['Shrinking::RoughCycleShrink2'],2600.09,"[96.940114329, 610.686588027, 193.682343359, 111.479656011, 191.611496636, 198.968803768, 179.856673725, 477.382341914, 468.25581396, 71.224931014]",662,6380,"[184, 2478, 435, 193, 270, 318, 253, 1066, 1122, 61]",4901,"[160, 1756, 363, 162, 240, 268, 216, 829, 852, 55]",7,4,5.70,"[6, 6, 6, 6, 5, 6, 6, 4, 7, 5]",9,5,7.60,"[8, 8, 8, 8, 7, 8, 8, 5, 9, 7]",0.41
"['Shrinking::CycleShrink2', 'Shrinking::ElemShrink2']",445.18,"[57.112195707999994, 41.941817574, 38.902833742, 27.882973211, 40.970961113, 39.638977664, 34.993428275, 86.96275523700001, 53.552417381, 23.220695497]",144,1281,"[70, 165, 144, 66, 109, 89, 149, 230, 226, 33]",1066,"[58, 131, 116, 55, 91, 74, 122, 203, 189, 27]",8,5,6.20,"[6, 7, 6, 6, 5, 6, 6, 8, 7, 5]",10,7,8.20,"[8, 9, 8, 8, 7, 8, 8, 10, 9, 7]",0.35
"['Shrinking::CycleShrink2', 'Shrinking::BinaryShrink2']",550.07,"[46.959025538, 61.210975229, 39.4646097, 38.910434318, 82.786763511, 49.401423846, 41.268251952, 107.46239882200001, 48.148090843, 34.459140262999995]",165,1261,"[77, 181, 159, 75, 83, 101, 110, 257, 182, 36]",1063,"[65, 146, 129, 64, 71, 85, 91, 228, 154, 30]",8,5,6.20,"[6, 7, 6, 6, 5, 6, 6, 8, 7, 5]",10,7,8.20,"[8, 9, 8, 8, 7, 8, 8, 10, 9, 7]",0.44
"['Shrinking::CycleShrink2', 'Shrinking::DeltaShrink']",1056.56,"[106.59337924799999, 119.032448218, 92.53851191, 113.428832456, 80.130723281, 86.61023722200001, 84.970599456, 227.484026314, 93.60175140700001, 52.166874815]",260,1518,"[111, 234, 145, 115, 110, 110, 144, 357, 149, 43]",1318,"[96, 194, 124, 101, 98, 96, 121, 321, 130, 37]",8,5,6.10,"[6, 7, 6, 6, 5, 6, 5, 8, 7, 5]",10,7,8.10,"[8, 9, 8, 8, 7, 8, 7, 10, 9, 7]",0.70
"['Shrinking::RoughCycleShrink2', 'Shrinking::ElemShrink2']",2923.23,"[125.361598484, 658.5669348719999, 228.59775981299998, 159.799246555, 214.796095467, 228.35839966499998, 209.48321407100002, 498.576114826, 504.84884639200004, 94.843274397]",719,6700,"[219, 2513, 470, 228, 294, 353, 288, 1080, 1170, 85]",5175,"[190, 1786, 393, 192, 260, 298, 246, 841, 894, 75]",7,4,5.70,"[6, 6, 6, 6, 5, 6, 6, 4, 7, 5]",9,5,7.60,"[8, 8, 8, 8, 7, 8, 8, 5, 9, 7]",0.44
"['Shrinking::RoughCycleShrink2', 'Shrinking::BinaryShrink2']",3044.02,"[141.742840968, 655.480091366, 238.62558905199998, 176.99813175, 228.161013396, 244.658778024, 225.78216259700002, 501.435507561, 527.178476796, 103.956632912]",746,6758,"[226, 2519, 476, 235, 296, 360, 295, 1080, 1183, 88]",5236,"[197, 1793, 400, 199, 263, 305, 253, 841, 907, 78]",7,4,5.70,"[6, 6, 6, 6, 5, 6, 6, 4, 7, 5]",9,5,7.60,"[8, 8, 8, 8, 7, 8, 8, 5, 9, 7]",0.45
"['Shrinking::RoughCycleShrink2', 'Shrinking::DeltaShrink']",3317.75,"[192.60511658299998, 681.986758421, 269.182222561, 183.001192489, 245.920321988, 271.061511727, 278.74219911700004, 509.456024248, 564.185057886, 121.604620114]",790,6865,"[238, 2531, 488, 247, 303, 372, 307, 1084, 1200, 95]",5342,"[209, 1805, 412, 211, 270, 317, 265, 844, 924, 85]",7,4,5.70,"[6, 6, 6, 6, 5, 6, 6, 4, 7, 5]",9,5,7.60,"[8, 8, 8, 8, 7, 8, 8, 5, 9, 7]",0.48

