# Shrunk traces: 10
# Start total, inputs: 520, 223'
# Start: [88, 68, 135, 38, 185]'
# Start inputs: [38, 28, 56, 16, 85]'
# Start max, min, avg: 85, 16, 44.6'
shrinker,time,times,nr_tests,nr_steps,steps,nr_inputs,inputs,end_max,end_min,end_avg,end,end_all_max,end_all_min,end_all_avg,end_all,time_step
['Shrinking::BinaryShrink2'],2569.78,"[440.682827359, 235.096365423, 386.089538312, 77.132188097, 1430.777515618]",118,5455,"[616, 332, 921, 161, 3425]",2408,"[249, 135, 397, 72, 1555]",12,4,6.40,"[5, 4, 7, 4, 12]",20,8,12.60,"[15, 8, 12, 8, 20]",0.47
['Shrinking::DeltaShrink'],624.63,"[214.151539513, 127.344300527, 48.654945805, 150.40676805, 84.076066672]",212,1603,"[401, 334, 247, 238, 383]",864,"[211, 179, 142, 116, 216]",4,4,4.00,"[4, 4, 4, 4, 4]",10,7,8.20,"[10, 8, 8, 8, 7]",0.39
['Shrinking::CycleShrink2'],667.57,"[97.775532286, 79.17907024, 9.806024522, 19.775269706, 461.033317713]",16,1427,"[148, 123, 168, 40, 948]",596,"[55, 51, 85, 16, 389]",50,16,27.60,"[27, 25, 20, 16, 50]",125,40,67.40,"[73, 59, 40, 40, 125]",0.47
['Shrinking::RoughCycleShrink2'],173.02,"[50.492189251, 37.426760221, 23.396488362, 31.061453565, 30.641711146]",13,346,"[71, 61, 82, 54, 78]",145,"[29, 25, 39, 21, 31]",13,9,10.80,"[10, 11, 11, 13, 9]",35,23,27.20,"[25, 28, 25, 35, 23]",0.50
"['Shrinking::CycleShrink2', 'Shrinking::ElemShrink2']",3603.63,"[653.189103625, 544.28325551, 59.301684276, 145.120965091, 2201.731193726]",154,6883,"[1047, 861, 566, 326, 4083]",2823,"[410, 358, 289, 143, 1623]",4,4,4.00,"[4, 4, 4, 4, 4]",10,7,8.20,"[10, 8, 8, 8, 7]",0.52
"['Shrinking::CycleShrink2', 'Shrinking::BinaryShrink2']",1725.78,"[323.610321541, 366.37978254, 46.281627705, 94.221424328, 895.291220341]",100,3402,"[499, 518, 418, 200, 1767]",1432,"[202, 212, 215, 88, 715]",6,4,5.40,"[6, 6, 5, 4, 6]",15,8,11.60,"[12, 15, 10, 8, 13]",0.51
"['Shrinking::CycleShrink2', 'Shrinking::DeltaShrink']",1262.87,"[235.32698874800002, 211.02291428, 77.607387844, 187.14644328, 551.764504873]",187,2534,"[324, 430, 314, 279, 1187]",1179,"[144, 222, 164, 132, 517]",5,4,4.20,"[4, 4, 4, 5, 4]",8,7,7.60,"[7, 8, 8, 8, 7]",0.50
"['Shrinking::RoughCycleShrink2', 'Shrinking::ElemShrink2']",496.70,"[160.24749447599999, 84.057945113, 69.944205558, 99.654421291, 82.791254213]",67,996,"[192, 195, 210, 231, 168]",443,"[78, 87, 99, 106, 73]",4,4,4.00,"[4, 4, 4, 4, 4]",10,7,7.80,"[10, 8, 7, 7, 7]",0.50
"['Shrinking::RoughCycleShrink2', 'Shrinking::BinaryShrink2']",463.05,"[142.242560107, 73.824647354, 56.618059209, 93.63575018, 96.73271417800001]",67,831,"[172, 175, 162, 150, 172]",369,"[71, 80, 78, 66, 74]",5,4,4.40,"[4, 5, 4, 4, 5]",10,7,9.40,"[10, 10, 7, 10, 10]",0.56
"['Shrinking::RoughCycleShrink2', 'Shrinking::DeltaShrink']",584.75,"[165.8260166, 174.086503795, 60.067960841, 107.20633226199999, 77.55871803]",140,968,"[200, 247, 196, 130, 195]",480,"[95, 119, 107, 56, 103]",4,4,4.00,"[4, 4, 4, 4, 4]",10,7,8.40,"[10, 8, 7, 10, 7]",0.60

