# Shrunk traces: 10
# Start total, inputs: 61, 32'
# Start: [13, 11, 11, 9, 17]'
# Start inputs: [7, 7, 7, 5, 6]'
# Start max, min, avg: 7, 5, 6.4'
shrinker,time,times,nr_tests,nr_steps,steps,nr_inputs,inputs,end_max,end_min,end_avg,end,end_all_max,end_all_min,end_all_avg,end_all,time_step
['Shrinking::BinaryShrink2'],29.70,"[6.329487003, 6.295180196, 6.390983258, 5.403642187, 5.284356972]",28,87,"[20, 24, 18, 15, 10]",59,"[13, 15, 13, 10, 8]",3,3,3.00,"[3, 3, 3, 3, 3]",5,5,5.00,"[5, 5, 5, 5, 5]",0.34
['Shrinking::DeltaShrink'],69.37,"[6.391460618, 13.89448397, 20.004904812, 13.434543074, 15.64538545]",53,158,"[16, 40, 56, 25, 21]",114,"[12, 30, 43, 17, 12]",3,3,3.00,"[3, 3, 3, 3, 3]",5,5,5.00,"[5, 5, 5, 5, 5]",0.44
['Shrinking::CycleShrink2'],16.43,"[1.134409444, 1.099842878, 1.202690799, 1.075151949, 11.913484349]",5,55,"[10, 9, 11, 9, 16]",29,"[5, 6, 7, 5, 6]",7,5,5.80,"[5, 6, 7, 5, 6]",16,9,11.00,"[10, 9, 11, 9, 16]",0.30
['Shrinking::RoughCycleShrink2'],5.39,"[1.09702462, 1.054747933, 1.084117187, 1.098783629, 1.059556539]",5,44,"[10, 9, 11, 9, 5]",26,"[5, 6, 7, 5, 3]",7,3,5.20,"[5, 6, 7, 5, 3]",11,5,8.80,"[10, 9, 11, 9, 5]",0.12
"['Shrinking::CycleShrink2', 'Shrinking::ElemShrink2']",59.36,"[8.508834219, 9.569551761, 10.7233105, 10.275663928, 20.280325858]",34,177,"[28, 31, 47, 28, 43]",112,"[17, 25, 30, 17, 23]",5,3,3.40,"[3, 5, 3, 3, 3]",7,5,5.40,"[5, 7, 5, 5, 5]",0.34
"['Shrinking::CycleShrink2', 'Shrinking::BinaryShrink2']",43.83,"[6.363981918, 6.439430403999999, 7.578719697, 6.338471673, 17.108209867]",31,124,"[20, 25, 29, 24, 26]",79,"[13, 17, 20, 15, 14]",3,3,3.00,"[3, 3, 3, 3, 3]",5,5,5.00,"[5, 5, 5, 5, 5]",0.35
"['Shrinking::CycleShrink2', 'Shrinking::DeltaShrink']",77.22,"[5.318197722, 9.508213575000001, 21.214618026, 14.363768039, 26.814381495]",51,190,"[19, 33, 67, 34, 37]",127,"[12, 25, 50, 22, 18]",3,3,3.00,"[3, 3, 3, 3, 3]",5,5,5.00,"[5, 5, 5, 5, 5]",0.41
"['Shrinking::RoughCycleShrink2', 'Shrinking::ElemShrink2']",44.86,"[8.316707607, 9.459342463, 10.530727678, 10.316156357999999, 6.241064838]",31,145,"[28, 31, 47, 28, 11]",97,"[17, 25, 30, 17, 8]",5,3,3.40,"[3, 5, 3, 3, 3]",7,5,5.40,"[5, 7, 5, 5, 5]",0.31
"['Shrinking::RoughCycleShrink2', 'Shrinking::BinaryShrink2']",30.70,"[6.404909476, 6.325065892, 7.436944283999999, 6.318907304, 4.217402657]",29,107,"[20, 25, 29, 24, 9]",72,"[13, 17, 20, 15, 7]",3,3,3.00,"[3, 3, 3, 3, 3]",5,5,5.00,"[5, 5, 5, 5, 5]",0.29
"['Shrinking::RoughCycleShrink2', 'Shrinking::DeltaShrink']",53.84,"[5.298380349, 9.705204942, 21.213742366, 14.444296455, 3.177760517]",47,161,"[19, 33, 67, 34, 8]",115,"[12, 25, 50, 22, 6]",3,3,3.00,"[3, 3, 3, 3, 3]",5,5,5.00,"[5, 5, 5, 5, 5]",0.33

