# Shrunk traces: 10
# Start total, inputs: 422, 154'
# Start: [45, 91, 72, 34, 147]'
# Start inputs: [16, 30, 31, 19, 58]'
# Start max, min, avg: 58, 16, 30.8'
shrinker,time,times,nr_tests,nr_steps,steps,nr_inputs,inputs,end_max,end_min,end_avg,end,end_all_max,end_all_min,end_all_avg,end_all,time_step
['Shrinking::BinaryShrink2'],860.80,"[85.675156481, 203.151755098, 144.561662967, 13.749848435, 413.661564334]",74,1925,"[145, 447, 291, 126, 916]",804,"[60, 176, 128, 78, 362]",6,4,5.00,"[4, 6, 4, 5, 6]",16,6,9.00,"[6, 16, 7, 7, 9]",0.45
['Shrinking::DeltaShrink'],167.44,"[16.733535412, 47.189523368, 49.378009688, 11.547440038, 42.596136946]",54,430,"[39, 108, 83, 50, 150]",208,"[23, 41, 41, 31, 72]",2,2,2.00,"[2, 2, 2, 2, 2]",3,3,3.00,"[3, 3, 3, 3, 3]",0.39
['Shrinking::CycleShrink2'],769.61,"[10.058499127, 42.022414998, 198.042652828, 1.0680991, 518.414203597]",20,1624,"[29, 198, 337, 9, 1051]",584,"[14, 79, 137, 6, 348]",41,6,20.60,"[14, 18, 24, 6, 41]",128,9,54.20,"[29, 47, 58, 9, 128]",0.47
['Shrinking::RoughCycleShrink2'],5.20,"[1.035013406, 1.029707411, 1.035653264, 1.066409241, 1.028340928]",5,27,"[7, 3, 5, 9, 3]",18,"[5, 2, 3, 6, 2]",6,2,3.60,"[5, 2, 3, 6, 2]",9,3,5.40,"[7, 3, 5, 9, 3]",0.19
"['Shrinking::CycleShrink2', 'Shrinking::ElemShrink2']",1863.03,"[38.401814368, 97.771060949, 399.84605738100004, 9.329700246, 1317.678233157]",123,4754,"[185, 509, 883, 30, 3147]",1963,"[109, 234, 421, 24, 1175]",8,3,5.60,"[5, 3, 8, 4, 8]",11,5,7.80,"[7, 5, 11, 5, 11]",0.39
"['Shrinking::CycleShrink2', 'Shrinking::BinaryShrink2']",1187.57,"[36.734783633999996, 59.616713092, 288.517571002, 8.409194068, 794.293869586]",79,2669,"[134, 301, 571, 29, 1634]",1041,"[69, 133, 243, 23, 573]",6,4,4.40,"[4, 4, 4, 4, 6]",13,5,7.80,"[6, 7, 8, 5, 13]",0.44
"['Shrinking::CycleShrink2', 'Shrinking::DeltaShrink']",880.89,"[24.946066889, 67.733443955, 232.875431658, 8.386484839, 546.94393042]",69,1926,"[65, 267, 408, 28, 1158]",738,"[36, 110, 171, 19, 402]",2,2,2.00,"[2, 2, 2, 2, 2]",3,3,3.00,"[3, 3, 3, 3, 3]",0.46
"['Shrinking::RoughCycleShrink2', 'Shrinking::ElemShrink2']",34.07,"[8.355145348, 5.0831669139999995, 6.136382635, 9.416946449000001, 5.082805815]",23,71,"[21, 5, 10, 30, 5]",57,"[18, 4, 7, 24, 4]",4,2,2.80,"[4, 2, 2, 4, 2]",5,3,3.80,"[5, 3, 3, 5, 3]",0.48
"['Shrinking::RoughCycleShrink2', 'Shrinking::BinaryShrink2']",21.96,"[5.197232717, 2.065101521, 4.136725443, 8.51286886, 2.051323792]",21,64,"[17, 4, 10, 29, 4]",48,"[12, 3, 7, 23, 3]",4,2,2.40,"[2, 2, 2, 4, 2]",5,3,3.40,"[3, 3, 3, 5, 3]",0.34
"['Shrinking::RoughCycleShrink2', 'Shrinking::DeltaShrink']",23.78,"[5.144216203, 3.101707375, 4.149189191, 8.306402039, 3.080927831]",23,69,"[17, 7, 10, 28, 7]",48,"[12, 5, 7, 19, 5]",2,2,2.00,"[2, 2, 2, 2, 2]",3,3,3.00,"[3, 3, 3, 3, 3]",0.34

