# Shrunk traces: 10
# Start total, inputs: 746, 263'
# Start: [178, 63, 81, 230, 164]'
# Start inputs: [61, 29, 20, 85, 68]'
# Start max, min, avg: 85, 20, 52.6'
shrinker,time,times,nr_tests,nr_steps,steps,nr_inputs,inputs,end_max,end_min,end_avg,end,end_all_max,end_all_min,end_all_avg,end_all,time_step
['Shrinking::BinaryShrink2'],2476.04,"[787.054836169, 18.572898152, 120.316369597, 830.081483413, 720.012314798]",111,5779,"[1607, 154, 244, 2282, 1492]",2279,"[581, 93, 106, 837, 662]",8,5,6.60,"[8, 6, 5, 6, 8]",20,8,12.80,"[20, 10, 8, 12, 14]",0.43
['Shrinking::DeltaShrink'],447.08,"[77.613926373, 13.042395467, 27.784989139, 100.11798807, 228.516902733]",97,997,"[186, 56, 105, 231, 419]",484,"[74, 39, 76, 104, 191]",3,3,3.00,"[3, 3, 3, 3, 3]",5,5,5.00,"[5, 5, 5, 5, 5]",0.45
['Shrinking::CycleShrink2'],2073.83,"[432.78963517, 19.250780971, 47.70484124, 801.602801104, 772.48038457]",29,4161,"[888, 47, 119, 1811, 1296]",1476,"[289, 18, 54, 604, 511]",52,17,37.00,"[47, 18, 17, 51, 52]",147,35,97.80,"[136, 47, 35, 147, 124]",0.50
['Shrinking::RoughCycleShrink2'],27.73,"[1.086516696, 1.085709612, 23.307563884, 1.146502508, 1.106803901]",7,73,"[6, 8, 45, 6, 8]",42,"[4, 5, 24, 4, 5]",7,4,5.00,"[4, 5, 7, 4, 5]",10,6,7.60,"[6, 8, 10, 6, 8]",0.38
"['Shrinking::CycleShrink2', 'Shrinking::ElemShrink2']",6686.50,"[1963.87066943, 102.831595885, 191.103126257, 2129.927994236, 2298.769600798]",213,14274,"[3863, 376, 426, 5167, 4442]",5458,"[1329, 173, 192, 1887, 1877]",9,3,5.60,"[6, 3, 3, 9, 7]",13,5,8.60,"[9, 5, 5, 13, 11]",0.47
"['Shrinking::CycleShrink2', 'Shrinking::BinaryShrink2']",3589.71,"[819.9674044000001, 90.318046836, 106.232252278, 1369.003963056, 1204.183560676]",123,7360,"[1633, 255, 266, 3148, 2058]",2707,"[560, 115, 131, 1074, 827]",7,5,5.80,"[7, 5, 5, 7, 5]",14,7,9.80,"[11, 9, 7, 14, 8]",0.49
"['Shrinking::CycleShrink2', 'Shrinking::DeltaShrink']",2406.63,"[521.806833157, 67.485580865, 68.967982491, 894.3206171190001, 854.04923692]",107,4790,"[1058, 122, 190, 1970, 1450]",1767,"[348, 52, 107, 670, 590]",3,3,3.00,"[3, 3, 3, 3, 3]",5,5,5.00,"[5, 5, 5, 5, 5]",0.50
"['Shrinking::RoughCycleShrink2', 'Shrinking::ElemShrink2']",63.99,"[7.321706876, 8.28955792, 32.721740001, 7.330222097, 8.32571952]",32,162,"[17, 25, 78, 17, 25]",105,"[12, 17, 47, 12, 17]",3,3,3.00,"[3, 3, 3, 3, 3]",5,5,5.00,"[5, 5, 5, 5, 5]",0.39
"['Shrinking::RoughCycleShrink2', 'Shrinking::BinaryShrink2']",58.12,"[6.325677048999999, 7.425219474, 30.641223251, 6.397450705, 7.328219013]",36,150,"[17, 24, 68, 17, 24]",101,"[13, 17, 41, 13, 17]",3,3,3.00,"[3, 3, 3, 3, 3]",5,5,5.00,"[5, 5, 5, 5, 5]",0.39
"['Shrinking::RoughCycleShrink2', 'Shrinking::DeltaShrink']",72.97,"[5.410274307, 11.524399933, 39.102889419, 5.3652785220000005, 11.565019106]",50,178,"[15, 32, 84, 15, 32]",126,"[11, 24, 56, 11, 24]",3,3,3.00,"[3, 3, 3, 3, 3]",5,5,5.00,"[5, 5, 5, 5, 5]",0.41

