# Shrunk traces: 10
# Start total, inputs: 374804, 112'
# Start: [76, 29, 62, 32, 125]'
# Start inputs: [18, 16, 31, 7, 40]'
# Start max, min, avg: 40, 7, 22.4'
shrinker,time,times,nr_tests,nr_steps,steps,nr_inputs,inputs,end_max,end_min,end_avg,end,end_all_max,end_all_min,end_all_avg,end_all,time_step
['Shrinking::BinaryShrink2'],1517.33,"[304.054626286, 237.672682706, 229.704404437, 155.228854328, 590.671525057]",66,1412,"[349, 72, 264, 40, 687]",513,"[73, 46, 153, 26, 215]",9,4,5.40,"[4, 4, 6, 4, 9]",21,6,9.80,"[6, 6, 10, 6, 21]",1.07
['Shrinking::DeltaShrink'],1640.81,"[288.756860354, 349.948126397, 547.885789374, 136.622052963, 317.599243886]",189,1643,"[360, 193, 684, 65, 341]",809,"[108, 112, 391, 32, 166]",6,4,4.40,"[4, 4, 6, 4, 4]",8,6,6.40,"[6, 6, 8, 6, 6]",1.00
['Shrinking::CycleShrink2'],580.22,"[83.430530879, 47.19763302, 115.27129747, 10.798993265, 323.518388887]",14,739,"[121, 25, 93, 17, 483]",275,"[28, 14, 45, 4, 184]",27,7,14.60,"[13, 14, 12, 7, 27]",109080,23,21852.40,"[59, 25, 23, 109080, 75]",0.79
['Shrinking::RoughCycleShrink2'],228.54,"[73.545099413, 46.120911952, 50.302533049, 11.417096629, 47.153940102]",11,179,"[104, 10, 30, 19, 16]",64,"[24, 7, 19, 4, 10]",7,4,6.20,"[6, 7, 7, 7, 4]",109080,6,21829.40,"[40, 10, 11, 109080, 6]",1.28
"['Shrinking::CycleShrink2', 'Shrinking::ElemShrink2']",2403.65,"[444.469552918, 436.986098556, 253.990923435, 164.42334052200002, 1103.784455376]",87,2271,"[523, 167, 208, 57, 1316]",905,"[109, 110, 119, 29, 538]",7,4,5.00,"[4, 6, 7, 4, 4]",10,6,7.20,"[6, 8, 10, 6, 6]",1.06
"['Shrinking::CycleShrink2', 'Shrinking::BinaryShrink2']",1750.00,"[313.641118125, 285.528901364, 196.68924288099998, 165.942339433, 788.194373601]",80,1790,"[379, 94, 140, 57, 1120]",696,"[91, 58, 75, 30, 442]",11,4,5.60,"[5, 4, 4, 4, 11]",22,6,9.60,"[8, 6, 6, 6, 22]",0.98
"['Shrinking::CycleShrink2', 'Shrinking::DeltaShrink']",1576.51,"[235.848648621, 389.76146358200003, 250.37061084599998, 144.728380527, 555.804074713]",141,1647,"[290, 362, 195, 80, 720]",657,"[84, 124, 116, 36, 297]",4,4,4.00,"[4, 4, 4, 4, 4]",6,6,6.00,"[6, 6, 6, 6, 6]",0.96
"['Shrinking::RoughCycleShrink2', 'Shrinking::ElemShrink2']",692.08,"[138.100857743, 201.083950533, 130.001829834, 167.46729183500003, 55.427643805]",42,356,"[146, 50, 71, 60, 29]",166,"[42, 31, 45, 29, 19]",4,4,4.00,"[4, 4, 4, 4, 4]",6,6,6.00,"[6, 6, 6, 6, 6]",1.94
"['Shrinking::RoughCycleShrink2', 'Shrinking::BinaryShrink2']",662.78,"[135.650052399, 198.62301067, 107.931032195, 166.05032534499998, 54.529828878000004]",48,338,"[142, 46, 65, 58, 27]",162,"[41, 30, 42, 30, 19]",4,4,4.00,"[4, 4, 4, 4, 4]",6,6,6.00,"[6, 6, 6, 6, 6]",1.96
"['Shrinking::RoughCycleShrink2', 'Shrinking::DeltaShrink']",720.03,"[144.089268571, 230.42925891, 147.090037959, 142.881861169, 55.536532844]",88,456,"[157, 95, 94, 82, 28]",234,"[51, 60, 67, 36, 20]",4,4,4.00,"[4, 4, 4, 4, 4]",6,6,6.00,"[6, 6, 6, 6, 6]",1.58

