# Shrunk traces: 10
# Start total, inputs: 384, 166'
# Start: [43, 76, 21, 93, 148]'
# Start inputs: [17, 33, 10, 44, 62]'
# Start max, min, avg: 62, 10, 33.2'
shrinker,time,times,nr_tests,nr_steps,steps,nr_inputs,inputs,end_max,end_min,end_avg,end,end_all_max,end_all_min,end_all_avg,end_all,time_step
['Shrinking::BinaryShrink2'],819.87,"[64.598443546, 129.140827476, 23.508517458, 286.823247155, 315.79545048]",78,2001,"[180, 335, 43, 622, 821]",946,"[90, 147, 24, 319, 366]",7,3,5.00,"[5, 5, 3, 7, 5]",13,5,9.60,"[9, 10, 5, 11, 13]",0.41
['Shrinking::DeltaShrink'],186.21,"[31.685926455, 10.96429258, 17.015073749, 34.413102793, 92.136389478]",94,595,"[63, 63, 56, 234, 179]",346,"[37, 41, 38, 142, 88]",3,3,3.00,"[3, 3, 3, 3, 3]",5,5,5.00,"[5, 5, 5, 5, 5]",0.31
['Shrinking::CycleShrink2'],481.30,"[16.160704924, 24.322871315, 2.321903221, 137.261234082, 301.235390524]",12,1018,"[30, 70, 16, 268, 634]",436,"[12, 31, 9, 131, 253]",48,9,26.20,"[12, 31, 9, 31, 48]",118,16,59.00,"[30, 70, 16, 61, 118]",0.47
['Shrinking::RoughCycleShrink2'],35.53,"[1.078472501, 2.278907912, 12.802299258, 1.070960654, 18.298774391]",8,126,"[9, 29, 33, 10, 45]",60,"[5, 13, 17, 7, 18]",8,5,6.80,"[5, 6, 8, 7, 8]",20,9,13.20,"[9, 13, 14, 10, 20]",0.28
"['Shrinking::CycleShrink2', 'Shrinking::ElemShrink2']",2646.55,"[89.552373561, 520.247849267, 17.853493645, 495.158718314, 1523.739325774]",142,5910,"[172, 1225, 78, 1121, 3314]",2563,"[80, 498, 47, 603, 1335]",8,3,4.00,"[3, 3, 3, 8, 3]",11,5,6.20,"[5, 5, 5, 11, 5]",0.45
"['Shrinking::CycleShrink2', 'Shrinking::BinaryShrink2']",1192.45,"[61.779833406, 154.323013231, 11.866696171, 295.990348155, 668.48595404]",75,2504,"[115, 406, 51, 578, 1354]",1085,"[53, 175, 31, 284, 542]",5,3,4.20,"[4, 5, 3, 4, 5]",10,5,7.60,"[7, 10, 5, 6, 10]",0.48
"['Shrinking::CycleShrink2', 'Shrinking::DeltaShrink']",633.01,"[36.059731635000006, 35.203515771, 13.943889011, 167.72959534299997, 380.07747066]",78,1394,"[71, 134, 49, 369, 771]",654,"[36, 71, 32, 199, 316]",3,3,3.00,"[3, 3, 3, 3, 3]",5,5,5.00,"[5, 5, 5, 5, 5]",0.45
"['Shrinking::RoughCycleShrink2', 'Shrinking::ElemShrink2']",119.44,"[8.372823798, 10.679630341, 26.434866212, 10.502754035, 63.454379004]",42,322,"[27, 58, 81, 41, 115]",174,"[17, 30, 47, 32, 48]",5,3,3.40,"[3, 3, 3, 5, 3]",7,5,5.40,"[5, 5, 5, 7, 5]",0.37
"['Shrinking::RoughCycleShrink2', 'Shrinking::BinaryShrink2']",73.90,"[7.399248422, 7.509886887, 20.200852476999998, 6.378036119, 32.408720106]",36,219,"[26, 39, 55, 26, 73]",121,"[17, 21, 32, 18, 33]",3,3,3.00,"[3, 3, 3, 3, 3]",5,5,5.00,"[5, 5, 5, 5, 5]",0.34
"['Shrinking::RoughCycleShrink2', 'Shrinking::DeltaShrink']",85.48,"[11.641201071000001, 8.719084368, 25.513748339, 8.610297148999999, 30.991254505999997]",55,260,"[34, 47, 68, 31, 80]",156,"[24, 25, 42, 22, 43]",3,3,3.00,"[3, 3, 3, 3, 3]",5,5,5.00,"[5, 5, 5, 5, 5]",0.33

