# Shrunk traces: 10
# Start total, inputs: 154, 56'
# Start: [12, 56, 9, 67, 10]'
# Start inputs: [4, 21, 6, 19, 6]'
# Start max, min, avg: 21, 4, 11.2'
shrinker,time,times,nr_tests,nr_steps,steps,nr_inputs,inputs,end_max,end_min,end_avg,end,end_all_max,end_all_min,end_all_avg,end_all,time_step
['Shrinking::BinaryShrink2'],298.09,"[15.226268847, 167.154771797, 17.476476101, 92.992469271, 5.241508269]",46,535,"[11, 282, 22, 210, 10]",224,"[9, 98, 20, 89, 8]",6,3,4.20,"[3, 4, 5, 6, 3]",12,5,7.60,"[5, 12, 7, 9, 5]",0.56
['Shrinking::DeltaShrink'],87.51,"[14.546269573, 26.876478087, 11.476461533, 28.373324498, 6.238572188]",47,189,"[9, 78, 8, 78, 16]",118,"[7, 47, 6, 46, 12]",3,3,3.00,"[3, 3, 3, 3, 3]",5,5,5.00,"[5, 5, 5, 5, 5]",0.46
['Shrinking::CycleShrink2'],184.05,"[10.673643741, 61.500257763, 10.663582652, 100.11513011, 1.100082686]",9,265,"[5, 92, 9, 149, 10]",90,"[3, 27, 6, 48, 6]",13,3,7.60,"[3, 13, 6, 10, 6]",45,5,19.20,"[5, 45, 9, 27, 10]",0.69
['Shrinking::RoughCycleShrink2'],46.97,"[12.312171503, 21.523317689, 10.928818739, 1.076320461, 1.131486895]",6,65,"[5, 34, 9, 7, 10]",32,"[3, 13, 6, 4, 6]",6,3,5.00,"[3, 6, 6, 4, 6]",16,5,9.40,"[5, 16, 9, 7, 10]",0.72
"['Shrinking::CycleShrink2', 'Shrinking::ElemShrink2']",526.94,"[15.856421464, 296.400994888, 40.827994728, 164.37943330899998, 9.473562179]",47,694,"[11, 363, 31, 252, 37]",257,"[8, 106, 25, 95, 23]",5,3,3.40,"[3, 3, 5, 3, 3]",7,5,5.40,"[5, 5, 7, 5, 5]",0.76
"['Shrinking::CycleShrink2', 'Shrinking::BinaryShrink2']",423.23,"[13.855004054999998, 227.091656629, 28.379432015, 147.646808602, 6.259186507999999]",45,497,"[9, 208, 31, 229, 20]",197,"[7, 64, 26, 86, 14]",6,3,4.20,"[3, 6, 5, 4, 3]",11,5,7.00,"[5, 11, 7, 7, 5]",0.85
"['Shrinking::CycleShrink2', 'Shrinking::DeltaShrink']",254.02,"[12.766681665, 92.245237651, 22.309656688, 119.310607615, 7.383629503]",51,411,"[8, 174, 17, 186, 26]",185,"[6, 78, 12, 71, 18]",3,3,3.00,"[3, 3, 3, 3, 3]",5,5,5.00,"[5, 5, 5, 5, 5]",0.62
"['Shrinking::RoughCycleShrink2', 'Shrinking::ElemShrink2']",111.89,"[17.538712686, 48.482338406, 29.053397833000002, 7.31186788, 9.506950931]",31,169,"[11, 71, 31, 18, 38]",98,"[8, 30, 25, 12, 23]",5,3,3.40,"[3, 3, 5, 3, 3]",7,5,5.40,"[5, 5, 7, 5, 5]",0.66
"['Shrinking::RoughCycleShrink2', 'Shrinking::BinaryShrink2']",103.97,"[15.434653621999999, 48.144089252, 28.871316579000002, 5.219589188, 6.300286762]",33,146,"[9, 70, 31, 16, 20]",88,"[7, 30, 26, 11, 14]",5,3,3.40,"[3, 3, 5, 3, 3]",7,5,5.40,"[5, 5, 7, 5, 5]",0.71
"['Shrinking::RoughCycleShrink2', 'Shrinking::DeltaShrink']",97.81,"[14.400366447, 45.477851463, 23.24570254, 7.304379115, 7.379526547]",37,155,"[8, 83, 17, 21, 26]",95,"[6, 44, 12, 15, 18]",3,3,3.00,"[3, 3, 3, 3, 3]",5,5,5.00,"[5, 5, 5, 5, 5]",0.63

