# Shrunk traces: 10
# Start total, inputs: 960, 73'
# Start: [11, 26, 16, 74, 5]'
# Start inputs: [6, 15, 9, 40, 3]'
# Start max, min, avg: 40, 3, 14.6'
shrinker,time,times,nr_tests,nr_steps,steps,nr_inputs,inputs,end_max,end_min,end_avg,end,end_all_max,end_all_min,end_all_avg,end_all,time_step
['Shrinking::BinaryShrink2'],79.78,"[7.226300942, 13.855506914, 12.16885456, 43.276429645, 3.253028329]",61,856,"[24, 98, 55, 675, 4]",510,"[15, 57, 35, 399, 4]",9,3,4.60,"[3, 4, 4, 9, 3]",279,5,62.80,"[5, 7, 7, 16, 279]",0.09
['Shrinking::DeltaShrink'],63.24,"[9.379800028, 15.94058083, 19.290251771, 16.51021352, 2.116766519]",55,227,"[22, 44, 60, 98, 3]",148,"[16, 33, 41, 55, 3]",3,3,3.00,"[3, 3, 3, 3, 3]",279,5,59.80,"[5, 5, 5, 5, 279]",0.28
['Shrinking::CycleShrink2'],9.14,"[1.316731174, 1.372583376, 1.494827521, 3.626296579, 1.330434861]",6,133,"[7, 5, 10, 106, 5]",70,"[4, 3, 6, 54, 3]",25,3,8.20,"[4, 3, 6, 25, 3]",49,5,15.20,"[7, 5, 10, 49, 5]",0.07
['Shrinking::RoughCycleShrink2'],7.17,"[1.434050183, 1.346639658, 1.437352248, 1.574466005, 1.37699831]",5,34,"[7, 5, 10, 7, 5]",21,"[4, 3, 6, 5, 3]",6,3,4.20,"[4, 3, 6, 5, 3]",10,5,6.80,"[7, 5, 10, 7, 5]",0.21
"['Shrinking::CycleShrink2', 'Shrinking::ElemShrink2']",73.66,"[7.755735016, 6.528666636, 10.901718916, 41.92779728, 6.5427988169999995]",47,723,"[18, 11, 35, 648, 11]",410,"[12, 8, 23, 359, 8]",6,3,3.60,"[3, 3, 3, 6, 3]",9,5,5.80,"[5, 5, 5, 9, 5]",0.10
"['Shrinking::CycleShrink2', 'Shrinking::BinaryShrink2']",47.15,"[6.096699087, 4.510028091, 8.456000627, 23.515731648, 4.567975792]",37,391,"[16, 9, 28, 329, 9]",220,"[11, 7, 19, 176, 7]",5,3,3.40,"[3, 3, 3, 5, 3]",8,5,5.60,"[5, 5, 5, 8, 5]",0.12
"['Shrinking::CycleShrink2', 'Shrinking::DeltaShrink']",41.75,"[7.929759648, 3.606833785, 10.809313831999999, 15.877696246, 3.529954272]",34,237,"[21, 8, 32, 168, 8]",137,"[15, 6, 22, 88, 6]",3,3,3.00,"[3, 3, 3, 3, 3]",5,5,5.00,"[5, 5, 5, 5, 5]",0.18
"['Shrinking::RoughCycleShrink2', 'Shrinking::ElemShrink2']",41.86,"[8.098967575, 6.548602539, 10.94343067, 9.728448803, 6.5365803200000006]",26,99,"[18, 11, 35, 24, 11]",68,"[12, 8, 23, 17, 8]",3,3,3.00,"[3, 3, 3, 3, 3]",5,5,5.00,"[5, 5, 5, 5, 5]",0.42
"['Shrinking::RoughCycleShrink2', 'Shrinking::BinaryShrink2']",31.11,"[5.980442163, 4.594963537, 8.385072022000001, 7.491923115, 4.658681178]",26,79,"[16, 9, 28, 17, 9]",57,"[11, 7, 19, 13, 7]",3,3,3.00,"[3, 3, 3, 3, 3]",5,5,5.00,"[5, 5, 5, 5, 5]",0.39
"['Shrinking::RoughCycleShrink2', 'Shrinking::DeltaShrink']",32.31,"[8.345551623, 3.50725673, 10.602021985, 6.258017681, 3.598503911]",27,85,"[21, 8, 32, 16, 8]",61,"[15, 6, 22, 12, 6]",3,3,3.00,"[3, 3, 3, 3, 3]",5,5,5.00,"[5, 5, 5, 5, 5]",0.38

