# Shrunk traces: 10
# Start total, inputs: 837, 282'
# Start: [163, 102, 70, 375, 102]'
# Start inputs: [53, 48, 10, 135, 36]'
# Start max, min, avg: 135, 10, 56.4'
shrinker,time,times,nr_tests,nr_steps,steps,nr_inputs,inputs,end_max,end_min,end_avg,end,end_all_max,end_all_min,end_all_avg,end_all,time_step
['Shrinking::BinaryShrink2'],3385.02,"[649.605853381, 148.859426754, 96.234690545, 2223.916898773, 266.406944941]",93,6876,"[1019, 630, 124, 4545, 558]",2439,"[318, 291, 38, 1588, 204]",7,3,4.60,"[5, 3, 4, 7, 4]",19,5,10.60,"[10, 5, 12, 19, 7]",0.49
['Shrinking::DeltaShrink'],357.31,"[79.861133768, 44.175137295, 14.409232096, 161.370186911, 57.496274609]",79,873,"[175, 161, 34, 377, 126]",395,"[65, 97, 23, 156, 54]",3,3,3.00,"[3, 3, 3, 3, 3]",5,5,5.00,"[5, 5, 5, 5, 5]",0.41
['Shrinking::CycleShrink2'],2104.82,"[503.803390877, 109.484197897, 20.817374575, 1237.989175714, 232.725885403]",24,4243,"[795, 425, 35, 2522, 466]",1429,"[233, 186, 9, 850, 151]",73,9,38.60,"[44, 35, 9, 73, 32]",202,35,111.80,"[148, 81, 35, 202, 93]",0.50
['Shrinking::RoughCycleShrink2'],112.26,"[47.985723345, 2.204511219, 18.867799642, 11.710105508, 31.48975185]",8,174,"[48, 20, 32, 23, 51]",61,"[15, 11, 9, 7, 19]",9,5,7.40,"[7, 5, 9, 7, 9]",32,9,21.60,"[21, 9, 32, 23, 23]",0.65
"['Shrinking::CycleShrink2', 'Shrinking::ElemShrink2']",8881.02,"[2652.4056386519997, 404.209015562, 123.33973355, 4837.342561596, 863.724788289]",217,17066,"[3719, 1665, 160, 9723, 1799]",6158,"[1181, 789, 47, 3489, 652]",9,3,5.60,"[3, 9, 3, 7, 6]",13,5,8.80,"[5, 13, 5, 12, 9]",0.52
"['Shrinking::CycleShrink2', 'Shrinking::BinaryShrink2']",3651.09,"[1090.066471802, 252.042279635, 110.188769335, 1667.1722420170001, 531.623083362]",99,6796,"[1529, 887, 143, 3304, 933]",2324,"[464, 383, 39, 1124, 314]",5,4,4.60,"[5, 4, 4, 5, 5]",14,7,10.00,"[9, 7, 12, 8, 14]",0.54
"['Shrinking::CycleShrink2', 'Shrinking::DeltaShrink']",2522.63,"[584.042316307, 174.844788787, 37.418503812, 1425.0648154790001, 301.261330869]",94,4912,"[947, 530, 68, 2779, 588]",1708,"[290, 239, 34, 941, 204]",3,3,3.00,"[3, 3, 3, 3, 3]",5,5,5.00,"[5, 5, 5, 5, 5]",0.51
"['Shrinking::RoughCycleShrink2', 'Shrinking::ElemShrink2']",381.22,"[92.05040965399999, 9.688042848, 143.779335341, 41.969744345, 93.73558341900001]",45,512,"[101, 38, 163, 73, 137]",195,"[38, 23, 47, 30, 57]",3,3,3.00,"[3, 3, 3, 3, 3]",5,5,5.00,"[5, 5, 5, 5, 5]",0.74
"['Shrinking::RoughCycleShrink2', 'Shrinking::BinaryShrink2']",339.86,"[95.292012461, 8.455068354, 110.71239989899999, 43.491536267, 81.912203834]",48,460,"[99, 37, 138, 70, 116]",177,"[37, 23, 39, 29, 49]",4,3,3.80,"[4, 3, 4, 4, 4]",12,5,7.60,"[7, 5, 12, 8, 6]",0.74
"['Shrinking::RoughCycleShrink2', 'Shrinking::DeltaShrink']",176.80,"[56.481829188999995, 16.593936659, 35.595833255, 20.091489335, 48.041419695]",54,304,"[65, 45, 65, 41, 88]",154,"[27, 30, 34, 19, 44]",3,3,3.00,"[3, 3, 3, 3, 3]",5,5,5.00,"[5, 5, 5, 5, 5]",0.58

