# Shrunk traces: 10
# Start total, inputs: 954, 410'
# Start: [155, 194, 84, 249, 256]'
# Start inputs: [72, 77, 39, 114, 108]'
# Start max, min, avg: 114, 39, 82.0'
shrinker,time,times,nr_tests,nr_steps,steps,nr_inputs,inputs,end_max,end_min,end_avg,end,end_all_max,end_all_min,end_all_avg,end_all,time_step
['Shrinking::BinaryShrink2'],6194.48,"[773.61215541, 1066.401517157, 328.361059483, 1716.929495537, 2309.172534353]",204,13208,"[2189, 2009, 789, 3587, 4634]",6205,"[1099, 882, 428, 1774, 2022]",15,11,12.60,"[12, 12, 11, 13, 15]",22,16,19.00,"[16, 20, 17, 20, 22]",0.47
['Shrinking::DeltaShrink'],4005.28,"[673.953220804, 777.642642602, 376.601267081, 1119.703816914, 1057.38165018]",527,9399,"[1763, 1517, 1021, 2557, 2541]",5031,"[1009, 753, 610, 1360, 1299]",8,8,8.00,"[8, 8, 8, 8, 8]",9,9,9.00,"[9, 9, 9, 9, 9]",0.43
['Shrinking::CycleShrink2'],5312.47,"[754.817382188, 1164.876477004, 161.800832649, 2002.727225378, 1228.247264574]",48,9128,"[1730, 1798, 290, 3248, 2062]",3753,"[792, 670, 124, 1388, 779]",95,38,71.40,"[63, 67, 38, 95, 94]",252,82,172.60,"[135, 176, 82, 218, 252]",0.58
['Shrinking::RoughCycleShrink2'],10708.76,"[930.030262123, 951.491657291, 406.631851353, 5354.484107333, 3066.119177642]",314,20807,"[2261, 1424, 710, 10687, 5725]",9941,"[1091, 611, 330, 5364, 2545]",23,13,19.00,"[21, 13, 17, 23, 21]",43,20,34.80,"[37, 20, 34, 43, 40]",0.51
"['Shrinking::CycleShrink2', 'Shrinking::ElemShrink2']",30428.51,"[2876.622640327, 4964.704895414, 632.187686894, 9187.033677268999, 12767.960509716]",403,42766,"[5751, 7313, 1607, 13701, 14394]",17346,"[2693, 2890, 836, 5861, 5066]",11,10,10.20,"[11, 10, 10, 10, 10]",15,13,13.40,"[15, 13, 13, 13, 13]",0.71
"['Shrinking::CycleShrink2', 'Shrinking::BinaryShrink2']",21328.00,"[2418.6222954639998, 3805.88732816, 789.573270407, 7715.326642584, 6598.59443909]",274,23924,"[3965, 3840, 1194, 9318, 5607]",9679,"[1727, 1388, 592, 4115, 1857]",30,12,15.80,"[13, 12, 12, 30, 12]",67,19,30.20,"[21, 24, 20, 67, 19]",0.89
"['Shrinking::CycleShrink2', 'Shrinking::DeltaShrink']",10683.61,"[1450.504187521, 2669.662353611, 560.539589568, 3176.653265518, 2826.2472388730002]",520,16880,"[3404, 3300, 1269, 4912, 3995]",7697,"[1771, 1310, 685, 2278, 1653]",8,8,8.00,"[8, 8, 8, 8, 8]",9,9,9.00,"[9, 9, 9, 9, 9]",0.63
"['Shrinking::RoughCycleShrink2', 'Shrinking::ElemShrink2']",11323.58,"[1062.372641052, 968.20365771, 494.828714649, 5650.654946499, 3147.521987641]",409,22244,"[2612, 1535, 924, 11123, 6050]",10873,"[1310, 698, 475, 5626, 2764]",10,10,10.00,"[10, 10, 10, 10, 10]",13,13,13.00,"[13, 13, 13, 13, 13]",0.51
"['Shrinking::RoughCycleShrink2', 'Shrinking::BinaryShrink2']",11290.17,"[1066.1504740540001, 975.339361614, 454.967863718, 5668.931546246, 3124.783462355]",427,22057,"[2577, 1531, 873, 11144, 5932]",10764,"[1291, 701, 450, 5631, 2691]",11,9,9.60,"[10, 9, 9, 11, 9]",16,11,12.40,"[13, 11, 11, 16, 11]",0.51
"['Shrinking::RoughCycleShrink2', 'Shrinking::DeltaShrink']",11948.09,"[1287.0624715160002, 1215.921279994, 662.494427571, 5592.081321891, 3190.530477991]",635,23071,"[2934, 1705, 1097, 11202, 6133]",11489,"[1537, 800, 585, 5716, 2851]",8,8,8.00,"[8, 8, 8, 8, 8]",9,9,9.00,"[9, 9, 9, 9, 9]",0.52

