# Shrunk traces: 10
# Start total, inputs: 248, 113'
# Start: [80, 49, 54, 12, 52]'
# Start inputs: [36, 20, 25, 7, 25]'
# Start max, min, avg: 36, 7, 22.6'
shrinker,time,times,nr_tests,nr_steps,steps,nr_inputs,inputs,end_max,end_min,end_avg,end,end_all_max,end_all_min,end_all_avg,end_all,time_step
['Shrinking::BinaryShrink2'],598.87,"[254.073916318, 151.751298, 117.799264752, 6.346150523, 68.903614138]",67,1262,"[442, 244, 333, 20, 223]",589,"[202, 106, 159, 14, 108]",5,3,4.40,"[5, 5, 5, 3, 4]",12,5,8.60,"[12, 9, 10, 5, 7]",0.47
['Shrinking::DeltaShrink'],109.24,"[25.576958623, 10.822937552, 15.285766205, 7.567396673, 49.990591399]",67,410,"[92, 45, 55, 21, 197]",249,"[50, 33, 31, 15, 120]",3,3,3.00,"[3, 3, 3, 3, 3]",5,5,5.00,"[5, 5, 5, 5, 5]",0.27
['Shrinking::CycleShrink2'],381.50,"[203.309153353, 97.64092136, 32.142274085, 1.111999597, 47.29499589]",15,747,"[345, 158, 89, 12, 143]",317,"[146, 59, 39, 7, 66]",27,7,17.40,"[27, 13, 19, 7, 21]",65,12,40.80,"[65, 37, 44, 12, 46]",0.51
['Shrinking::RoughCycleShrink2'],101.72,"[1.993255035, 90.863124483, 3.324435399, 4.426831009, 1.111421006]",18,216,"[13, 147, 29, 14, 13]",99,"[6, 60, 16, 11, 6]",10,5,6.40,"[6, 10, 5, 5, 6]",27,8,14.00,"[13, 27, 9, 8, 13]",0.47
"['Shrinking::CycleShrink2', 'Shrinking::ElemShrink2']",1306.36,"[743.977674643, 270.859813291, 117.109351999, 10.564238086000001, 163.848912643]",102,2675,"[1186, 384, 454, 49, 602]",1158,"[499, 139, 212, 30, 278]",3,3,3.00,"[3, 3, 3, 3, 3]",5,5,5.00,"[5, 5, 5, 5, 5]",0.49
"['Shrinking::CycleShrink2', 'Shrinking::BinaryShrink2']",857.15,"[462.556777735, 177.81072475399998, 93.12431338100001, 7.451187203, 116.20941410700001]",75,1669,"[742, 265, 278, 32, 352]",734,"[321, 101, 127, 21, 164]",6,3,4.20,"[6, 4, 4, 3, 4]",13,5,8.40,"[13, 8, 8, 5, 8]",0.51
"['Shrinking::CycleShrink2', 'Shrinking::DeltaShrink']",467.71,"[226.570787058, 106.3126894, 54.54254422699999, 8.557166515, 71.725725638]",65,1005,"[426, 190, 142, 33, 214]",472,"[193, 81, 65, 22, 111]",3,3,3.00,"[3, 3, 3, 3, 3]",5,5,5.00,"[5, 5, 5, 5, 5]",0.47
"['Shrinking::RoughCycleShrink2', 'Shrinking::ElemShrink2']",217.35,"[11.306823159, 174.166555264, 10.624843253, 11.72340557, 9.530778642000001]",50,431,"[43, 267, 47, 31, 43]",204,"[23, 107, 28, 23, 23]",3,3,3.00,"[3, 3, 3, 3, 3]",5,5,5.00,"[5, 5, 5, 5, 5]",0.50
"['Shrinking::RoughCycleShrink2', 'Shrinking::BinaryShrink2']",193.41,"[9.330987985, 157.209212375, 8.566693825, 10.766803528, 7.534611118000001]",51,378,"[34, 241, 39, 30, 34]",183,"[19, 98, 24, 23, 19]",4,3,3.20,"[3, 4, 3, 3, 3]",8,5,5.60,"[5, 8, 5, 5, 5]",0.51
"['Shrinking::RoughCycleShrink2', 'Shrinking::DeltaShrink']",139.03,"[9.398903271, 99.42534365300001, 6.617424955000001, 15.002103583, 8.583928559]",53,320,"[34, 177, 37, 38, 34]",175,"[21, 81, 22, 30, 21]",3,3,3.00,"[3, 3, 3, 3, 3]",5,5,5.00,"[5, 5, 5, 5, 5]",0.43

