# Shrunk traces: 10
# Start total, inputs: 631, 242'
# Start: [99, 85, 159, 108, 159]'
# Start inputs: [42, 33, 66, 41, 60]'
# Start max, min, avg: 66, 33, 48.4'
shrinker,time,times,nr_tests,nr_steps,steps,nr_inputs,inputs,end_max,end_min,end_avg,end,end_all_max,end_all_min,end_all_avg,end_all,time_step
['Shrinking::BinaryShrink2'],1658.14,"[109.678808981, 120.622175136, 334.685415748, 388.202977632, 704.951732802]",126,5414,"[460, 382, 1595, 1219, 1758]",2167,"[223, 147, 696, 480, 621]",9,5,7.20,"[5, 5, 9, 9, 8]",19,8,12.80,"[8, 11, 13, 19, 13]",0.31
['Shrinking::DeltaShrink'],366.01,"[61.084045523, 52.11377822, 75.462380741, 79.92594319, 97.421614403]",106,984,"[117, 89, 203, 311, 264]",467,"[55, 43, 107, 137, 125]",3,3,3.00,"[3, 3, 3, 3, 3]",5,5,5.00,"[5, 5, 5, 5, 5]",0.37
['Shrinking::CycleShrink2'],834.59,"[127.058732196, 111.9927737, 214.683559746, 166.34931343, 214.505221239]",18,2127,"[263, 243, 613, 549, 459]",730,"[101, 77, 228, 180, 144]",54,24,38.80,"[35, 24, 54, 36, 45]",147,74,113.00,"[88, 74, 147, 111, 145]",0.39
['Shrinking::RoughCycleShrink2'],37.92,"[1.042484967, 12.736506078, 1.063904303, 1.091142858, 21.99034381]",7,102,"[5, 33, 11, 10, 43]",45,"[3, 17, 6, 5, 14]",12,3,6.80,"[3, 8, 6, 5, 12]",41,5,16.00,"[5, 13, 11, 10, 41]",0.37
"['Shrinking::CycleShrink2', 'Shrinking::ElemShrink2']",4635.07,"[447.817893096, 562.297082863, 1348.095475379, 715.325852383, 1561.5322541550001]",212,12764,"[1576, 1182, 4364, 2334, 3308]",4721,"[701, 355, 1707, 815, 1143]",11,3,6.60,"[6, 3, 7, 6, 11]",15,5,9.80,"[9, 5, 11, 9, 15]",0.36
"['Shrinking::CycleShrink2', 'Shrinking::BinaryShrink2']",2130.93,"[308.778142504, 222.014951124, 561.339366284, 388.080752498, 650.715101424]",94,5269,"[651, 497, 1625, 1196, 1300]",1807,"[264, 160, 611, 384, 388]",6,4,4.80,"[6, 4, 6, 4, 4]",15,7,9.60,"[15, 7, 11, 7, 8]",0.40
"['Shrinking::CycleShrink2', 'Shrinking::DeltaShrink']",1144.82,"[228.078848836, 135.410413453, 291.964218819, 198.537416874, 290.827755398]",99,2782,"[388, 306, 780, 677, 631]",1039,"[150, 111, 307, 249, 222]",3,3,3.00,"[3, 3, 3, 3, 3]",5,5,5.00,"[5, 5, 5, 5, 5]",0.41
"['Shrinking::RoughCycleShrink2', 'Shrinking::ElemShrink2']",211.99,"[6.240232828, 23.211904279000002, 9.308636396999999, 8.285439206, 164.94091558899999]",41,415,"[11, 83, 38, 29, 254]",179,"[8, 47, 23, 17, 84]",5,3,3.40,"[3, 3, 3, 3, 5]",7,5,5.40,"[5, 5, 5, 5, 7]",0.51
"['Shrinking::RoughCycleShrink2', 'Shrinking::BinaryShrink2']",114.05,"[4.138135473, 21.121716123, 8.597866973, 7.346785706, 72.84677517]",38,270,"[9, 66, 37, 28, 130]",127,"[7, 39, 23, 17, 41]",4,3,3.20,"[3, 4, 3, 3, 3]",8,5,5.60,"[5, 8, 5, 5, 5]",0.42
"['Shrinking::RoughCycleShrink2', 'Shrinking::DeltaShrink']",88.35,"[3.169198306, 18.955134436, 15.844250273, 11.518838486, 38.865365675]",55,249,"[8, 51, 55, 36, 99]",152,"[6, 30, 37, 24, 55]",3,3,3.00,"[3, 3, 3, 3, 3]",5,5,5.00,"[5, 5, 5, 5, 5]",0.35

